position,status,n,diagnostic_coverage,avg_market,avg_diagnostic,mean_delta,rank_correlation,median_abs_delta,p90_abs_delta,within_5pct,over_10pct
QB,Diagnostic model,77,0,122.21922077922079,122.21922077922079,0.0,1.0,0.0,0.0,100.0,0
RB,Diagnostic model,134,85,85.55522388059701,85.55522388059703,6.7872738938278225e-15,0.8672612058569614,8.985972087801446,51.88835436260019,43.28358208955223,67
WR,Validated preseason model,215,126,85.73488372093023,85.73488372093023,0.0,0.9137948679316071,9.204746171493952,53.4869534291256,45.58139534883721,104
TE,Validated preseason model,127,77,59.76692913385827,59.76692913385826,-2.8533605924224496e-15,0.9264362757234806,2.9490603602192813,36.173459255278374,47.24409448818898,57
