sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,fie_position_rank,market_position_rank,comparison_eligible,rank_edge,reason
11563,00-0039732,Bo Nix,sleeper_id_to_canonical,QB,DEN,DEN,False,119.4,adp_ppr,295.72,295.72,17.39529411764706,254.9913162514572,274.09062582518663,295.48072041288333,316.8803455596544,336.9778600396129,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},12.0,14.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8183,00-0037834,Brock Purdy,sleeper_id_to_canonical,QB,SF,SF,False,122.4,adp_ppr,303.2,303.2,17.83529411764706,262.52121553798844,281.8509276273317,302.66827969123267,324.0749903143306,344.9007983822643,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},9.0,15.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
3163,00-0033106,Jared Goff,sleeper_id_to_canonical,QB,DET,DET,False,133.1,adp_ppr,283.46,283.46,16.67411764705882,243.6953577500066,261.91357504016884,282.8127319385717,304.74109823057546,323.51150283605165,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},15.0,16.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
4892,00-0034855,Baker Mayfield,sleeper_id_to_canonical,QB,TB,TB,False,143.3,adp_ppr,274.88,274.88,16.16941176470588,235.37201278009525,253.1314008120501,274.47733451254413,295.5620481116375,314.9093918398475,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},19.0,17.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
6804,00-0036264,Jordan Love,sleeper_id_to_canonical,QB,GB,GB,False,149.5,adp_ppr,278.52,278.52,16.383529411764705,238.7488842411115,257.51288276684494,278.0977737584959,299.2730887906623,318.480448384185,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},18.0,18.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
5849,00-0035228,Kyler Murray,sleeper_id_to_canonical,QB,MIN,ARI,False,159.0,adp_ppr,283.06,283.06,16.65058823529412,243.56737403718515,261.97476321558275,282.14640537278564,303.5679850767261,323.9141173510076,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},16.0,19.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
4943,00-0034869,Sam Darnold,sleeper_id_to_canonical,QB,SEA,SEA,False,175.6,adp_ppr,262.74,262.74,15.45529411764706,222.58328182999455,241.26459190731495,262.2526764280672,282.8932376088192,303.4459812171171,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},22.0,20.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
13269,00-0041562,Fernando Mendoza,unmatched,QB,LV,,False,179.1,adp_ppr,212.16,212.16,12.48,174.7136321729314,191.8622868413997,211.30598303487588,231.7144868207778,251.1171896113704,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},28.0,21.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12545,00-0040743,Tyler Shough,sleeper_id_to_canonical,QB,NO,NO,False,185.8,adp_ppr,270.94,270.94,15.93764705882353,231.0172572404596,249.4929937573682,270.4261036036809,291.9960277292325,310.9220278611989,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},20.0,22.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8161,00-0038128,Malik Willis,sleeper_id_to_canonical,QB,MIA,GB,False,194.5,adp_ppr,270.12,270.12,15.889411764705883,229.49475687643584,248.65077106803943,269.67189375985976,290.5749682206475,310.8122970477408,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},21.0,23.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
