position,test_season,metric,model,decile,n,mean_prediction,mean_actual,bias
QB,2022,PPG,V972,1,6,3.8691622869661604,7.755228937728937,-3.8860666507627766
QB,2022,PPG,V972,2,5,6.615538588660544,4.356666666666667,2.258871921993877
QB,2022,PPG,V972,3,5,9.208472168313584,9.215623529411763,-0.007151361098179265
QB,2022,PPG,V972,4,6,11.624562277051071,11.367943510737627,0.25661876631344427
QB,2022,PPG,V972,5,5,13.66487457803306,13.34660512820513,0.3182694498279304
QB,2022,PPG,V972,6,5,15.816236378637175,13.011054545454545,2.8051818331826297
QB,2022,PPG,V972,7,6,17.3471488050128,15.567694444444447,1.7794543605683533
QB,2022,PPG,V972,8,5,18.722996067343292,16.884023716153127,1.838972351190165
QB,2022,PPG,V972,9,5,20.78342033249785,20.646101960784314,0.1373183717135369
QB,2022,PPG,V972,10,6,23.128563444478406,24.12489341948901,-0.9963299750106032
QB,2022,PPG,M9,1,6,3.5728648539833077,7.855228937728938,-4.28236408374563
QB,2022,PPG,M9,2,5,6.178459848397751,2.542666666666667,3.6357931817310845
QB,2022,PPG,M9,3,5,9.005327739765505,7.852571428571428,1.1527563111940768
QB,2022,PPG,M9,4,6,12.322354523544734,13.386950980392157,-1.0645964568474238
QB,2022,PPG,M9,5,5,14.09853650231398,16.916250980392157,-2.8177144780781767
QB,2022,PPG,M9,6,5,14.824151870264846,10.923704761904762,3.9004471083600833
QB,2022,PPG,M9,7,6,15.549665700577103,16.023799728049728,-0.47413402747262445
QB,2022,PPG,M9,8,5,17.665263062238473,16.257664052287584,1.4075990099508893
QB,2022,PPG,M9,9,5,20.134575192452477,21.034165686274513,-0.8995904938220356
QB,2022,PPG,M9,10,6,23.24243240715798,23.160657308377893,0.08177509878008848
QB,2022,SEASON,V972,1,6,22.564477971036023,57.589999999999996,-35.02552202896398
QB,2022,SEASON,V972,2,5,37.064824290715634,33.056000000000004,4.00882429071563
QB,2022,SEASON,V972,3,5,54.64590922401808,83.792,-29.146090775981925
QB,2022,SEASON,V972,4,6,82.016664454637,76.93333333333334,5.083331121303658
QB,2022,SEASON,V972,5,5,134.159141237794,114.58000000000001,19.579141237793976
QB,2022,SEASON,V972,6,5,177.3206672283989,230.204,-52.88333277160112
QB,2022,SEASON,V972,7,6,226.67522298051907,188.27666666666667,38.398556313852396
QB,2022,SEASON,V972,8,5,267.2844276579516,281.32399999999996,-14.03957234204836
QB,2022,SEASON,V972,9,5,281.07939040547694,233.552,47.52739040547695
QB,2022,SEASON,V972,10,6,322.1984519166137,373.7733333333333,-51.57488141671962
QB,2022,SEASON,M9,1,6,21.096290181762416,21.836666666666662,-0.740376484904246
QB,2022,SEASON,M9,2,5,35.79056987301557,68.768,-32.97743012698443
QB,2022,SEASON,M9,3,5,54.144787943507616,22.1,32.044787943507615
QB,2022,SEASON,M9,4,6,85.5433142129134,134.33666666666667,-48.79335245375327
QB,2022,SEASON,M9,5,5,149.8280459763671,143.156,6.672045976367087
QB,2022,SEASON,M9,6,5,172.26915969342923,229.27200000000002,-57.00284030657079
QB,2022,SEASON,M9,7,6,193.97001947189815,192.63000000000002,1.340019471898131
QB,2022,SEASON,M9,8,5,234.4108392862015,219.76399999999998,14.646839286201526
QB,2022,SEASON,M9,9,5,268.5789172589465,262.244,6.3349172589464615
QB,2022,SEASON,M9,10,6,320.4081218306288,373.7733333333333,-53.36521150270454
QB,2023,PPG,V972,1,6,4.170719344580452,9.748947712418301,-5.578228367837849
QB,2023,PPG,V972,2,5,7.678399833504679,5.6385000000000005,2.0398998335046787
QB,2023,PPG,V972,3,5,9.666596452153684,11.802361904761904,-2.1357654526082204
QB,2023,PPG,V972,4,5,11.298858668523533,9.388533333333333,1.9103253351901994
QB,2023,PPG,V972,5,6,13.197788719930955,13.614143790849674,-0.41635507091871915
QB,2023,PPG,V972,6,5,14.6594175910293,15.76663492063492,-1.1072173296056196
QB,2023,PPG,V972,7,5,16.55970292364959,14.189769696969694,2.369933226679894
QB,2023,PPG,V972,8,5,18.058026919129542,14.230714932126698,3.827311987002844
QB,2023,PPG,V972,9,5,20.096930791667727,17.584020588235298,2.5129102034324298
QB,2023,PPG,V972,10,6,23.27417033850117,21.667630844645547,1.606539493855621
QB,2023,PPG,M9,1,6,5.000845675743,9.920614379084968,-4.919768703341968
QB,2023,PPG,M9,2,5,8.155750632050292,5.852233333333333,2.303517298716959
QB,2023,PPG,M9,3,5,11.173812494024345,12.90802857142857,-1.7342160774042252
QB,2023,PPG,M9,4,5,12.762761814794553,13.116639215686273,-0.3538774008917205
QB,2023,PPG,M9,5,6,13.932581751905554,12.876363636363635,1.0562181155419186
QB,2023,PPG,M9,6,5,14.895717462174588,12.725254901960785,2.170462560213803
QB,2023,PPG,M9,7,5,15.639005657445688,8.80148492063492,6.837520736810768
QB,2023,PPG,M9,8,5,16.821297427887714,20.38625414781297,-3.564956719925256
QB,2023,PPG,M9,9,5,18.630714807674124,14.760050000000001,3.870664807674123
