sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,fie_position_rank,market_position_rank,comparison_eligible,rank_edge
7032,00-0036439,Tyrie Cleveland,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7035,,Kendrick,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7038,00-0036027,Darius Anderson,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7039,00-0035891,Cody White,sleeper_id_to_canonical,WR,SEA,SEA,False,664.0,adp_ppr,8.5,37.00346801614942,2.17667458918526,14.627296010073927,24.162877836298478,35.8143169031057,48.36784360762841,61.20726763494989,92,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":1.172222584286083,""receptions"":0.6356979795591104,""receiving_yards"":10.43966397170996,""receiving_tds"":0.08135380688252127,""fumbles_lost"":0.007120064084456067,""rushing_yards"":0.1045111388007609,""rushing_tds"":0.0,""rushing_2pt_conversions"":0.00016652985081590393,""receiving_2pt_conversions"":0.006171662873615056}",,,"{""prev_fantasy_ppg"":-1.9183625298390192,""prev__receiving_yards"":-1.1086095359801094,""prev__receptions"":-0.7653391751774149,""target_share_prior4"":-0.6555218359613925,""opportunity_xfp_realized_prior4"":-0.1495150348700113,""prev__receiving_tds"":-0.053136941943415936,""prev__rushing_yards"":-0.047235852985548686,""pfr_receiving_drop_pct_prior4"":-0.04310600083408412}",181.0,483.0,True,302.0
7045,00-0036370,Joshua Kelley,unmatched,RB,,,False,698.0,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,346.0,False,
7048,00-0036117,Benny LeMay,unmatched,RB,CLE,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7049,00-0036259,Jauan Jennings,sleeper_id_to_canonical,WR,MIN,SF,True,196.3,adp_ppr,105.7,105.7,6.2176470588235295,78.50228120499085,90.57552389338714,104.96298952409923,119.85188579167068,133.72487762070023,55,MARKET_FALLBACK,1.0,,"{""targets"":5.4141049988146275,""receptions"":3.3552008636063078,""receiving_yards"":40.322503045970365,""receiving_tds"":0.2852021145948901,""fumbles_lost"":0.012638050427627954,""rushing_yards"":0.18742315185882794,""rushing_tds"":0.0022290878900424077,""rushing_2pt_conversions"":0.0,""receiving_2pt_conversions"":0.010030212754250955}",,,"{""prev_fantasy_ppg"":1.4379120250983979,""prev__receiving_yards"":0.4200112804580757,""prev__receptions"":0.3183686453584765,""prev__receiving_tds"":0.24815851851106802,""target_share_prior4"":0.227140785087676,""xfp_residual_prior4"":-0.20931308495297077,""offense_snap_share_prior4"":-0.14853928477359282,""receiving_competitor_count"":-0.08238296460384083}",79.0,69.0,False,
7050,00-0036332,Josiah Deguara,sleeper_id_to_canonical,TE,NYG,ARI,True,,adp_ppr,,,,,,,,,11,MARKET_FALLBACK,1.0,,"{""targets"":0.9322454693205766,""receptions"":0.6171126603465715,""receiving_yards"":5.193350349098217,""receiving_tds"":0.06493443455883845,""fumbles_lost"":0.009502312286309735,""rushing_yards"":0.16648903511132973,""rushing_tds"":0.004100671425035994,""rushing_2pt_conversions"":0.0004817865205615868,""receiving_2pt_conversions"":0.003662251227348398}",,,"{""target_share_prior4"":-1.0320673426345004,""prev__receiving_yards"":-0.8128308411039934,""prev_fantasy_ppg"":-0.6241343542665242,""prev__receptions"":-0.38846772760077397,""offense_snap_share_prior4"":-0.3860075232345103,""opportunity_xfp_realized_prior4"":-0.23096126052364618,""pfr_receiving_drop_pct_prior4"":0.09330964386435955,""receiving_competition_index_prior4"":0.048076443109209915}",,,False,
7056,,Darrell,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7063,,Shea,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7064,00-0036297,Darrynton Evans,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
