sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,m9_strategy_projection,m9_fie_season_mean,m9_fie_diagnostic_mean,m9_fie_production_mean,m9_projection_source,v972_component_ppg,v972_component_mean,v972_validation_mean_improvement,v972_validation_ci95_low,v972_validation_ci95_high,v972_validation_positive_folds,v972_validation_folds,v972_games_assumption,v972_profile_season,v972_profile_team,v972_profile_join_method,v972_exact_scoring_replay,v972_shadow_applied,v972_shadow_status,v972_raw_projected_stats_per_game,strategy_projection,strategy_projection_source,projection_delta_vs_m9,fie_value_projection,replacement_points,fie_vorp,adp_change_from_open,adp_change_7d,adp_change_21d,market_snapshot_count,latest_market_as_of,adp_implied_expected_points,adp_implied_top12_rate,point_edge_vs_adp_history,fie_value_position_rank_raw,market_position_rank_raw,current_player_match,current_team,current_active,current_full_name,current_canonical_player_id,current_sleeper_id,current_relevant_player,within_draft_horizon,within_watchlist_horizon,draft_relevant,fie_value_position_rank,market_edge_status,value_label,actionable_draft_signal,draft_horizon,watchlist_horizon,draft_action,draft_action_reason,availability_probability,availability_probability_status
10210,00-0038564,Cameron Latu,canonical_id,TE,PHI,PHI,False,673.1,adp_ppr,4.0,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.25,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td|rush_yd,pts_ppr,4.0,0.2352941176470588,-11.425760684984764,-5.164264110717518,2.913988265205916,11.70752241318406,20.81925731077644,64,MARKET_FALLBACK,0.8,kr_yd|pr_yd,{},kr_yd|pr_yd,,{},validated_candidate,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,23.317234167809836,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,23.317234167809836,,0.7417520306729983,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""target_share_prior4"":-1.2931736221767012,""prev__receiving_yards"":-0.9445137718743748,""prev_fantasy_ppg"":-0.9056516251544139,""receiving_competitor_count"":0.5286701828074774,""offense_snap_share_prior4"":-0.4880320047043419,""prev__receptions"":-0.4880065933991148,""opportunity_xfp_realized_prior4"":-0.3192783665708048,""opportunity_change_score_prior1"":0.2729258956279468}",92,,113.0,False,,,-18.57548213713683,72.89358974358976,91.4690718807266,4.741752030672998,0.7417520306729983,18.54380076682496,111.0,199.0,True,-10.684008654311764,-4.42251208004452,3.655740295878914,12.449274443857057,21.561009341449434,4.741752030672998,4.0,4.741752030672998,,MARKET_FALLBACK,,,0.01644180198227801,-0.011507824715095892,0.04417665216260939,2,4,17.000000000000004,,,unmatched,False,False,position_not_validated,{},4.741752030672998,M9_FALLBACK,,4.741752030672998,127.08985792951394,-122.34810589884094,0.0,0.0,0.0,2.0,2026-09-01,,,,111.0,310.0,True,PHI,True,Cameron Latu,,10210,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10211,,Camerun Peoples,unmatched,RB,,,False,,adp_ppr,,SLEEPER_MARKET_UNAVAILABLE,0.0,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,,,,,,False,,,,,,,,,,MARKET_FALLBACK,,,0.03485869999749151,-0.015206934466700269,0.08537535624286845,3,4,17.0,,,unmatched,False,False,position_not_validated,{},,M9_FALLBACK,,,128.1,,,,,,,,,,,,True,,False,Camerun Peoples,,10211,False,False,False,False,,relevance_hardened_component_only,UNAVAILABLE,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10212,00-0038589,Josh Whyle,canonical_id,TE,GB,GB,False,695.5,adp_ppr,13.8,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.25,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td|rush_yd,pts_ppr,13.8,0.8117647058823529,-2.265179617143694,4.37821092377235,12.587790012119388,21.98784752905912,31.43535445865233,63,MARKET_FALLBACK,0.8,kr_yd|pr_yd,{},kr_yd|pr_yd,,{},validated_candidate,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,55.3613890575896,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,55.3613890575896,,22.985906920452766,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""target_share_prior4"":-0.7373816984802645,""receiving_competitor_count"":0.693898703257417,""prev__receiving_yards"":-0.6782084957227511,""prev_fantasy_ppg"":-0.48134244115490576,""prev__receptions"":-0.28831656160641084,""opportunity_xfp_realized_prior4"":-0.20189558212887895,""pfr_receiving_drop_pct_prior4"":0.09326214410264018,""prev__rushing_yards"":-0.03163148974805016}",91,,88.0,False,,,-18.57548213713683,72.89358974358976,91.4690718807266,36.78590692045277,22.985906920452766,166.56454290183163,66.0,289.0,True,20.720727303309072,27.36411784422512,35.573696932572155,44.97375444951189,54.4212613791051,36.78590692045277,13.8,36.78590692045277,,MARKET_FALLBACK,,,0.01644180198227801,-0.011507824715095892,0.04417665216260939,2,4,17.0,,,unmatched,False,False,position_not_validated,{},36.78590692045277,M9_FALLBACK,,36.78590692045277,127.08985792951394,-90.30395100906117,0.0,0.0,0.0,2.0,2026-09-01,,,,66.0,355.0,True,GB,True,Josh Whyle,,10212,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10213,00-0038563,Tre Tucker,canonical_id,WR,LV,LV,False,202.8,adp_ppr,125.9,SLEEPER_RAW_LEAGUE_REPLAY,0.5,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,125.9,7.405882352941177,97.49232310488354,110.2004288054664,124.79228780107331,140.83729198842002,155.39045562574333,66,MARKET_FALLBACK,0.8,kr_yd|pr_yd,{},kr_yd|pr_yd,,{},validated_candidate,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,142.48799186866876,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,142.48799186866876,,2.61048897783067,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":0.701497278690607,""prev__receiving_yards"":0.32697952332963715,""target_share_prior4"":0.2707698116463159,""offense_snap_share_prior4"":-0.21715009512493819,""prev__receptions"":0.21514487341446112,""prev__rushing_yards"":0.0869528385718199,""pfr_receiving_drop_pct_prior4"":-0.07946677133349143,""xfp_residual_prior4"":0.06615724143530387}",94,70.0,62.0,False,20.0,,-13.977502890838082,94.60625,108.58375289083808,128.51048897783068,2.61048897783067,2.0734622540354803,53.0,17.0,True,100.1028120827142,112.81091778329706,127.40277677890398,143.4477809662507,158.000944603574,128.51048897783068,125.9,128.51048897783068,,MARKET_FALLBACK,8.395673004757768,142.72644108088207,0.05636304517716307,0.029926261347455338,0.10138823990719964,4,4,17.0,2025.0,LV,canonical_id,True,True,validated_component_shadow,"{""rushing_attempts"":0.5672752747801407,""rushing_yards"":2.921217639071319,""rushing_tds"":0.02010369988378562,""rushing_2pt_conversions"":3.751626217780386e-05,""rushing_first_downs"":0.14210759988256533,""targets"":4.900311539333224,""receptions"":3.098481252863852,""receiving_yards"":36.4730482307193,""receiving_tds"":0.20973944235413075,""receiving_2pt_conversions"":0.011267315197720278,""receiving_first_downs"":1.7073637077850614,""fumbles"":0.04095871318560613,""fumbles_lost"":0.021951675716219955}",142.72644108088207,V972_VALIDATED_COMPONENT_SHADOW,14.215952103051393,142.72644108088207,126.38886462248928,16.33757645839279,0.0,0.0,0.0,2.0,2026-09-01,,,,51.0,70.0,True,LV,True,Tre Tucker,,10213,True,True,True,True,50.0,relevance_hardened_component_only,STRONG_VALUE,True,234,351,VALUE_TARGET,positive_vorp_and_fie_rank_edge_inside_relevant_universe,,blocked_no_empirical_pick_distribution
10214,00-0039074,Davis Allen,canonical_id,TE,LAR,LA,True,660.7,adp_ppr,5.9,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.25,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td|rush_yd,pts_ppr,5.9,0.3470588235294118,-9.673044532773211,-3.177699452970032,4.917150498560616,13.45272942653709,22.336409232616205,55,MARKET_FALLBACK,0.8,kr_yd|pr_yd,{},kr_yd|pr_yd,,{},validated_candidate,UNAVAILABLE_TEAM_CHANGE,False,,,,,,0.0,,,,,,0.0,0.8,kr_yd|pr_yd,"{""opportunity_change_score_prior1"":-0.5426260044437796,""prev__receiving_yards"":-0.3290526892128443,""target_share_prior4"":-0.21673673699377682,""prev_fantasy_ppg"":-0.17560733049224647,""red_zone_target_share_prior4"":-0.15496662618042412,""offense_snap_share_prior4"":0.11893708398807849,""pfr_receiving_drop_pct_prior4"":-0.11117046593377199,""prev__receptions"":-0.10460173235712322}",40,,105.0,False,,,-18.57548213713683,72.89358974358976,91.4690718807266,5.9,0.0,0.0,107.0,183.0,False,-9.673044532773211,-3.177699452970032,4.917150498560616,13.45272942653709,22.336409232616205,5.9,5.9,5.9,,MARKET_FALLBACK,,,0.01644180198227801,-0.011507824715095892,0.04417665216260939,2,4,17.0,,,unmatched,False,False,position_not_validated,{},5.9,M9_FALLBACK,,5.9,127.08985792951394,-121.18985792951393,0.0,0.0,0.0,2.0,2026-09-01,,,,107.0,290.0,True,LAR,True,Davis Allen,,10214,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10215,00-0038998,Jake Haener,unmatched,QB,NYG,,False,654.7,adp_ppr,,SLEEPER_MARKET_UNAVAILABLE,0.0,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,,,,,,False,,,,,,,,,,MARKET_FALLBACK,,,0.05686831474122727,0.01733573100259752,0.11844127321111474,4,4,17.0,,,unmatched,False,False,prior_season_profile_unavailable,{},,M9_FALLBACK,,,265.86541643004256,,0.0,0.0,0.0,2.0,2026-09-01,,,,,115.0,True,NYG,True,Jake Haener,,10215,True,False,False,False,,relevance_hardened_component_only,UNAVAILABLE,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10216,00-0038636,Kenny McIntosh,unmatched,RB,,,False,684.4,adp_ppr,5.2,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.375,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td,pts_ppr,5.2,0.3058823529411765,-13.205737660255402,-5.911006305425495,3.719284029404648,14.562136761508576,25.33162420681868,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,121.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,5.2,0.0,0.0,114.0,266.0,False,-13.205737660255402,-5.911006305425495,3.719284029404648,14.562136761508576,25.33162420681868,5.2,5.2,5.2,,MARKET_FALLBACK,,,0.03485869999749151,-0.015206934466700269,0.08537535624286845,3,4,17.0,,,unmatched,False,False,position_not_validated,{},5.2,M9_FALLBACK,,5.2,128.1,-122.89999999999999,0.0,0.0,0.0,2.0,2026-09-01,,,,114.0,380.0,True,,False,Kenny McIntosh,,10216,False,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10217,00-0038582,Clayton Tune,canonical_id,QB,,GB,False,,adp_ppr,12.4,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,12.4,0.7294117647058824,-11.932981682192263,-1.9855851203414476,10.69816329174168,24.71897769278389,38.92779887316169,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,68.86502135956613,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,68.86502135956613,,-4.986470181473914,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-3.740064700845583,""prev__passing_tds"":-1.3121392878642641,""prev__passing_yards"":-1.267388845514895,""snap_share_prior4"":-1.1774165143850999,""qb_rush_share_prior4"":-0.470267857869904,""prev__rushing_tds"":-0.31092475400187297,""opportunity_xfp_realized_prior4"":-0.11471954562027808,""team_pass_attempts_prior4_team"":-0.10563307088604373}",70,,62.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,7.4135298185260865,-4.986470181473914,-40.21346920543479,75.0,,True,-16.919451863666175,-6.972055301815361,5.711693110267765,19.732507511309983,33.94132869168778,7.4135298185260865,12.4,7.4135298185260865,,MARKET_FALLBACK,,,0.05686831474122727,0.01733573100259752,0.11844127321111474,4,4,17.0,2025.0,GB,canonical_id,False,False,prior_season_games_below_gate,{},7.4135298185260865,M9_FALLBACK,,7.4135298185260865,265.86541643004256,-258.45188661151644,,,,,,,,,79.0,,True,,False,Clayton Tune,,10217,False,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10218,00-0038618,Xavier Hutchinson,canonical_id,WR,HOU,HOU,False,,adp_ppr,36.7,SLEEPER_RAW_LEAGUE_REPLAY,0.375,fum_lost|rec_2pt|rush_2pt|rush_td|rush_yd,pts_ppr,36.7,2.158823529411765,14.60398842815848,23.87663961215395,35.356890755830925,47.93761644954815,60.37885857648766,66,MARKET_FALLBACK,0.8,kr_yd|pr_yd,{},kr_yd|pr_yd,,{},validated_candidate,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,94.18295755506512,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,94.18295755506512,,43.50545466422703,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,kr_yd|pr_yd,0.8,0.8,kr_yd|pr_yd,"{""prev_fantasy_ppg"":-0.5202110942276544,""prev__receiving_yards"":-0.3592757755743463,""target_share_prior4"":-0.31891112232436303,""prev__receptions"":-0.16866364414669918,""pfr_receiving_drop_pct_prior4"":-0.07946677133349143,""opportunity_xfp_realized_prior4"":-0.07754345956648241,""offense_snap_share_prior4"":0.06786669126884627,""opportunity_change_score_prior1"":0.05899623880481137}",94,,127.0,False,,,-13.977502890838082,94.60625,108.58375289083808,80.20545466422703,43.50545466422703,118.54347319952868,91.0,,True,58.10944309238551,67.38209427638098,78.86234542005795,91.44307111377518,103.88431324071468,80.20545466422703,36.7,80.20545466422703,,MARKET_FALLBACK,6.32355019357405,107.50035329075885,0.05636304517716307,0.029926261347455338,0.10138823990719964,4,4,17.0,2025.0,HOU,canonical_id,True,True,validated_component_shadow,"{""rushing_attempts"":0.15734244551216026,""rushing_yards"":0.8752221159931599,""rushing_tds"":0.003818009822362218,""rushing_2pt_conversions"":2.487785586572785e-05,""rushing_first_downs"":0.055205983563541394,""targets"":3.7239637679307687,""receptions"":2.3330305012235106,""receiving_yards"":28.716361413562417,""receiving_tds"":0.17099982381162582,""receiving_2pt_conversions"":0.005250323284753872,""receiving_first_downs"":1.3554365138147981,""fumbles"":0.02463622750146113,""fumbles_lost"":0.01404803234509249}",107.50035329075885,V972_VALIDATED_COMPONENT_SHADOW,27.29489862653182,107.50035329075885,126.38886462248928,-18.888511331730427,,,,,,,,,77.0,,True,HOU,True,Xavier Hutchinson,,10218,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10219,00-0038611,Chris Rodriguez,canonical_id,RB,JAX,WAS,True,140.4,adp_ppr,132.5,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.625,rec_2pt|rec_td|rush_2pt,pts_ppr,132.5,7.794117647058823,103.92252901588073,117.01486918818595,131.84048767448752,147.45048603919946,161.6370965983451,55,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},kr_yd|pr_yd,,{},diagnostic_only,UNAVAILABLE_TEAM_CHANGE,False,,,,,,0.0,,,,,,0.0,0.8,kr_yd|pr_yd,"{""prev__receptions"":-0.5278653500865866,""carry_share_prior4"":0.49466974870570535,""opportunity_change_score_prior1"":-0.35125757214022524,""prev__receiving_yards"":-0.34322192696969306,""prev__rushing_yards"":0.2864249974026952,""opportunity_xfp_realized_prior4"":0.2347402298896818,""prev__rushing_tds"":0.16753966452192084,""target_share_prior4"":-0.1526410834686337}",40,42.0,40.0,False,2.0,,-27.823106345213887,93.21724137931034,121.04034772452422,132.5,0.0,0.0,40.0,2.0,False,103.92252901588073,117.01486918818595,131.84048767448752,147.45048603919946,161.6370965983451,132.5,132.5,132.5,,MARKET_FALLBACK,,,0.03485869999749151,-0.015206934466700269,0.08537535624286845,3,4,17.0,,,unmatched,False,False,position_not_validated,{},132.5,M9_FALLBACK,,132.5,128.1,4.400000000000006,0.0,0.0,0.0,2.0,2026-09-01,,,,40.0,42.0,True,JAX,True,Chris Rodriguez,,10219,True,True,True,True,40.0,relevance_hardened_component_only,FAIR,False,234,351,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
