sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,reason,evidence_status,abs_rank_delta
12490,00-0040719,Bhayshul Tuten,canonical_id,RB,JAX,JAX,False,61.6,adp_ppr,174.8,SLEEPER_RAW_LEAGUE_REPLAY,0.75,rec_2pt|rush_2pt,pts_ppr,174.8,10.282352941176471,144.9389392168963,158.49296850621764,174.47350580629015,190.5043641657416,204.85740637352015,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,91.68221046020902,5.393071203541707,91.68221046020902,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,91.68221046020902,,-110.94089588500488,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":-0.6288455267292989,""opportunity_xfp_realized_prior4"":-0.4149666196167408,""carry_share_prior4"":-0.39914881694269133,""prev__rushing_yards"":-0.3966483000537735,""prev__receptions"":-0.366019872133462,""prev__receiving_yards"":-0.24389816851267998,""offense_snap_share_prior4"":0.24138236053009285,""inside_5_carry_share_prior4"":0.2001036520401278}",73,25.0,23.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,63.859104114995134,-110.94089588500488,-63.46733174199364,67.0,-42.0,True,33.998043331891424,47.55207262121276,63.53260992128527,79.56346828073673,93.9165104885153,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent opportunity-based expected production, recent carry share.",Diagnostic model,42.0
12519,00-0040735,Luther Burden III,canonical_id,WR,CHI,CHI,False,53.7,adp_ppr,209.0,SLEEPER_RAW_LEAGUE_REPLAY,0.5,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,139.31420153841182,8.194953031671284,110.16537068327628,123.84077543814578,138.88983696457498,154.14390133114196,169.19570767085708,93,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":4.361460330977172,""receptions"":2.963553343170885,""receiving_yards"":39.019381914491234,""receiving_tds"":0.18763867377138302,""fumbles_lost"":0.012047944082669505,""rushing_yards"":1.7301904964735515,""rushing_tds"":0.006868364323668916,""rushing_2pt_conversions"":0.0,""receiving_2pt_conversions"":0.006748053499473784}",,,"{""prev__receiving_yards"":0.44910689120367275,""target_share_prior4"":0.4327448499582047,""prev_fantasy_ppg"":0.34614264759832986,""prev__receptions"":0.1428225954471005,""opportunity_change_score_prior1"":-0.12558446978110713,""opportunity_xfp_realized_prior4"":0.11333638847899788,""xfp_residual_prior4"":-0.10437460458779142,""prev__rushing_yards"":0.06309724788734754}",validated_candidate,VALIDATED_POSITION_SHADOW,True,139.31420153841182,8.194953031671284,139.31420153841182,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,139.31420153841182,,-83.66330135242626,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev__receiving_yards"":0.44910689120367275,""target_share_prior4"":0.4327448499582047,""prev_fantasy_ppg"":0.34614264759832986,""prev__receptions"":0.1428225954471005,""opportunity_change_score_prior1"":-0.12558446978110713,""opportunity_xfp_realized_prior4"":0.11333638847899788,""xfp_residual_prior4"":-0.10437460458779142,""prev__rushing_yards"":0.06309724788734754}",93,23.0,55.0,True,-32.0,139.31420153841182,-13.977502890838082,94.60625,108.58375289083808,125.33669864757374,-83.66330135242626,-40.03028772843361,58.0,-35.0,True,96.1878677924382,109.8632725473077,124.9123340737369,140.16639844030388,155.218204780019,"FIE diagnostic is lower; main model signals: prior receiving-yard production, recent target share, prior-season fantasy production.",Validated preseason model,35.0
11635,00-0039915,Ladd McConkey,canonical_id,WR,LAC,LAC,False,37.7,adp_ppr,228.2,SLEEPER_RAW_LEAGUE_REPLAY,0.5,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,167.31885906949688,9.842285827617465,137.19750070281083,151.33298896572177,166.6845585254321,182.68155695925924,197.2725464334017,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":5.707130558831755,""receptions"":3.614540780952385,""receiving_yards"":43.83772349642688,""receiving_tds"":0.2914751891559838,""fumbles_lost"":0.0208302451468677,""rushing_yards"":0.5560685069821479,""rushing_tds"":0.008764001072089885,""rushing_2pt_conversions"":0.00022026857416153803,""receiving_2pt_conversions"":0.014075329050572136}",,,"{""prev_fantasy_ppg"":1.3488223512279516,""prev__receiving_yards"":0.7317990351442413,""prev__receptions"":0.4694028818934631,""target_share_prior4"":0.4118698333337634,""offense_snap_share_prior4"":-0.11868975073435813,""prev__receiving_tds"":0.10529380780617889,""pfr_receiving_drop_pct_prior4"":-0.07946677133349143,""opportunity_xfp_realized_prior4"":0.059311495547050695}",validated_candidate,VALIDATED_POSITION_SHADOW,True,167.31885906949688,9.842285827617465,167.31885906949688,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,167.31885906949688,,-74.85864382134119,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.3488223512279516,""prev__receiving_yards"":0.7317990351442413,""prev__receptions"":0.4694028818934631,""target_share_prior4"":0.4118698333337634,""offense_snap_share_prior4"":-0.11868975073435813,""prev__receiving_tds"":0.10529380780617889,""pfr_receiving_drop_pct_prior4"":-0.07946677133349143,""opportunity_xfp_realized_prior4"":0.059311495547050695}",94,16.0,39.0,True,-23.0,167.31885906949688,-13.977502890838082,94.60625,108.58375289083808,153.3413561786588,-74.85864382134119,-32.803963111893594,43.0,-27.0,True,123.21999781197276,137.3554860748837,152.707055634594,168.70405406842116,183.2950435425636,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior receiving-yard production, prior reception volume.",Validated preseason model,27.0
7594,00-0036555,Chuba Hubbard,canonical_id,RB,CAR,CAR,False,78.1,adp_ppr,147.9,SLEEPER_RAW_LEAGUE_REPLAY,0.75,rec_2pt|rush_2pt,pts_ppr,147.9,8.700000000000001,119.43753301233504,132.0555687328383,147.02735022775215,162.95260556693813,177.4422986548355,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,127.5982186302563,7.505777566485665,127.5982186302563,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,127.5982186302563,,-48.1248877149576,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":0.1786604072178571,""prev__receptions"":0.15188565731653703,""offense_snap_share_prior4"":-0.11057607153879676,""prev__rushing_tds"":-0.1078414032897238,""prev__receiving_yards"":0.10074330661526898,""backfield_competitor_count"":0.0864025768167898,""prev__receiving_tds"":0.05852354880953152,""target_share_prior4"":0.05316937576590257}",73,28.0,36.0,False,,,-27.823106345213887,93.21724137931034,121.04034772452422,99.7751122850424,-48.1248877149576,-32.53880170044462,52.0,-24.0,True,71.31264529737746,83.93068101788072,98.90246251279456,114.82771785198054,129.3174109398779,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior reception volume, recent offensive snap share.",Diagnostic model,24.0
6770,00-0036442,Joe Burrow,canonical_id,QB,CIN,CIN,False,51.4,adp_ppr,306.12,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,306.12,18.007058823529412,266.0537665725748,284.53492636704163,305.46131864488416,327.1536867586923,347.0691541414743,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,249.52057902815253,14.677681119303092,249.52057902815253,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,249.52057902815253,,-118.05091251288748,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.2241187821845798,""prev__passing_tds"":1.1165680554080533,""xfp_residual_prior4"":1.0238665639690414,""opportunity_change_score_prior1"":-0.4392062668485289,""prev__rushing_yards"":-0.4275067009233805,""qb_rush_share_prior4"":-0.3622895597469295,""prev__rushing_tds"":-0.31092475400187297,""prev__passing_yards"":0.30496239374063266}",72,4.0,6.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,188.0690874871125,-118.05091251288748,-38.56360659639601,23.0,-19.0,True,148.00285405968728,166.48401385415414,187.41040613199667,209.1027742458048,229.0182416285868,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior passing-TD production, recent actual-vs-expected production gap.",Diagnostic model,19.0
11560,00-0039918,Caleb Williams,canonical_id,QB,CHI,CHI,False,71.0,adp_ppr,299.34,SLEEPER_RAW_LEAGUE_REPLAY,0.875,rush_2pt,pts_ppr,299.34,17.608235294117645,259.2784229667873,278.07127225641926,299.1400282425621,320.083426554908,338.90775801103297,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,248.1972357512584,14.599837397132848,248.1972357512584,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,248.1972357512584,,-112.5942557897816,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.761295920977732,""pfr_times_pressured_pct_prior4"":-1.3318637440357963,""pfr_times_sacked_prior4"":-0.6259917676965533,""xfp_residual_prior4"":0.541725636440952,""opportunity_xfp_realized_prior4"":-0.524025498821005,""prev__passing_tds"":0.5030883458617583,""prev__rushing_yards"":0.4667856872212978,""snap_share_prior4"":0.3648392029898124}",74,7.0,10.0,False,,,-61.45149154104004,147.8505882352941,209.30207977633412,186.7457442102184,-112.5942557897816,-37.61416977008807,25.0,-18.0,True,146.68416717700566,165.47701646663765,186.54577245278048,207.4891707651264,226.31350222125133,"FIE diagnostic is lower; main model signals: prior-season fantasy production, recent pressure rate, pfr times sacked.",Diagnostic model,18.0
10236,00-0038933,Dalton Kincaid,canonical_id,TE,BUF,BUF,False,87.7,adp_ppr,196.6,SLEEPER_RAW_LEAGUE_REPLAY,0.4444444444444444,fum_lost|rec_2pt|rush_2pt|rush_td|rush_yd,pts_ppr,152.30790023710315,8.959288249241363,125.1289866632474,137.65048605790494,151.79157271915125,166.60193473930295,179.8561339631047,93,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":3.772404126242727,""receptions"":2.768481056578782,""receiving_yards"":33.69603612760509,""receiving_tds"":0.2226512826364451,""fumbles_lost"":0.020693708560526054,""rushing_yards"":0.1887870726634737,""rushing_tds"":0.015691716518212665,""rushing_2pt_conversions"":0.0001022162715244049,""receiving_2pt_conversions"":0.014604666998194375}",,,"{""prev__receiving_yards"":1.1988273243562575,""prev_fantasy_ppg"":1.0527353964545172,""prev__receptions"":0.40324860003679297,""target_share_prior4"":0.3403497012972561,""opportunity_change_score_prior1"":0.2629884400713958,""offense_snap_share_prior4"":-0.21768916560391605,""prev__receiving_tds"":0.17142398341290332,""red_zone_target_share_prior4"":-0.11769941601309655}",validated_candidate,VALIDATED_POSITION_SHADOW,True,152.30790023710315,8.959288249241363,152.30790023710315,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,152.30790023710315,,-67.00382860695953,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev__receiving_yards"":1.1988273243562575,""prev_fantasy_ppg"":1.0527353964545172,""prev__receptions"":0.40324860003679297,""target_share_prior4"":0.3403497012972561,""opportunity_change_score_prior1"":0.2629884400713958,""offense_snap_share_prior4"":-0.21768916560391605,""prev__receiving_tds"":0.17142398341290332,""red_zone_target_share_prior4"":-0.11769941601309655}",93,10.0,27.0,True,-17.0,152.30790023710315,-22.71172884406268,87.09871794871796,109.81044679278064,129.5961713930405,-67.00382860695953,-34.08129634128155,28.0,-18.0,True,102.41725781918473,114.93875721384228,129.0798438750886,143.89020589524029,157.14440511904203,"FIE diagnostic is lower; main model signals: prior receiving-yard production, prior-season fantasy production, prior reception volume.",Validated preseason model,18.0
7525,00-0036912,DeVonta Smith,canonical_id,WR,PHI,PHI,False,32.1,adp_ppr,229.2,SLEEPER_RAW_LEAGUE_REPLAY,0.5,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,180.70489647738407,10.6296997927873,151.035963877523,164.4164759545848,179.94729555499552,196.45995748656145,211.2013495093316,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":5.969783934375685,""receptions"":3.8618448615365617,""receiving_yards"":51.01807875055337,""receiving_tds"":0.2707396304268949,""fumbles_lost"":0.02238792590009257,""rushing_yards"":0.15571022230695436,""rushing_tds"":0.004765668655581794,""rushing_2pt_conversions"":0.0,""receiving_2pt_conversions"":0.021110045635016304}",,,"{""prev_fantasy_ppg"":1.552396206246355,""prev__receiving_yards"":1.214488966886292,""prev__receptions"":0.602585648239607,""target_share_prior4"":0.37402909667370454,""receiving_competitor_count"":-0.16472425623755688,""offense_snap_share_prior4"":-0.13034952835955838,""opportunity_change_score_prior1"":0.11316209217829284,""pfr_receiving_drop_pct_prior4"":0.07390267064766354}",validated_candidate,VALIDATED_POSITION_SHADOW,True,180.70489647738407,10.6296997927873,180.70489647738407,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,180.70489647738407,,-62.47260641345397,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.552396206246355,""prev__receiving_yards"":1.214488966886292,""prev__receptions"":0.602585648239607,""target_share_prior4"":0.37402909667370454,""receiving_competitor_count"":-0.16472425623755688,""offense_snap_share_prior4"":-0.13034952835955838,""opportunity_change_score_prior1"":0.11316209217829284,""pfr_receiving_drop_pct_prior4"":0.07390267064766354}",94,14.0,27.0,True,-13.0,180.70489647738407,-13.977502890838082,94.60625,108.58375289083808,166.72739358654604,-62.47260641345397,-27.2568090809136,32.0,-18.0,True,137.0584609866849,150.43897306374672,165.96979266415744,182.4824545957233,197.22384661849352,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior receiving-yard production, prior reception volume.",Validated preseason model,18.0
12514,00-0040129,Emeka Egbuka,canonical_id,WR,TB,TB,False,39.0,adp_ppr,224.0,SLEEPER_RAW_LEAGUE_REPLAY,0.5,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,178.6751351905832,10.510302070034308,148.73520198216835,162.59367264559413,177.8404709843623,194.15025962804884,209.35049766451093,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":6.289019895072438,""receptions"":3.6051067460879254,""receiving_yards"":49.31538858406721,""receiving_tds"":0.3177745561534628,""fumbles_lost"":0.02641878087910465,""rushing_yards"":0.39237316760470514,""rushing_tds"":0.006695609266115788,""rushing_2pt_conversions"":0.0001637590655302349,""receiving_2pt_conversions"":0.020054099944433478}",,,"{""prev_fantasy_ppg"":1.4229577160196691,""prev__receiving_yards"":1.0153682583960169,""prev__receptions"":0.331377105862005,""target_share_prior4"":0.27494132908287333,""opportunity_change_score_prior1"":0.25733524603703073,""xfp_residual_prior4"":0.123905813811625,""pfr_receiving_drop_pct_prior4"":0.09277890966072876,""prev__receiving_tds"":0.09132110762508273}",validated_candidate,VALIDATED_POSITION_SHADOW,True,178.6751351905832,10.510302070034308,178.6751351905832,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,178.6751351905832,,-59.30236770025488,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":1.4229577160196691,""prev__receiving_yards"":1.0153682583960169,""prev__receptions"":0.331377105862005,""target_share_prior4"":0.27494132908287333,""opportunity_change_score_prior1"":0.25733524603703073,""xfp_residual_prior4"":0.123905813811625,""pfr_receiving_drop_pct_prior4"":0.09277890966072876,""prev__receiving_tds"":0.09132110762508273}",94,18.0,31.0,True,-13.0,178.6751351905832,-13.977502890838082,94.60625,108.58375289083808,164.69763229974512,-59.30236770025488,-26.47427129475664,35.0,-17.0,True,134.75769909133027,148.61616975475604,163.86296809352422,180.1727567372108,195.37299477367287,"FIE diagnostic is lower; main model signals: prior-season fantasy production, prior receiving-yard production, prior reception volume.",Validated preseason model,17.0
12517,00-0040126,Colston Loveland,canonical_id,TE,CHI,CHI,False,40.5,adp_ppr,257.4,SLEEPER_RAW_LEAGUE_REPLAY,0.5555555555555556,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,174.9012162528697,10.2883068384041,146.96607576511934,160.0197772670032,174.77270579634876,189.30595795254524,203.31282007664697,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":4.779349123743679,""receptions"":3.435197250938301,""receiving_yards"":37.349363939201695,""receiving_tds"":0.23799059254164354,""fumbles_lost"":0.029139099070435714,""rushing_yards"":0.0,""rushing_tds"":0.0,""rushing_2pt_conversions"":0.0,""receiving_2pt_conversions"":0.01545460548374374}",,,"{""target_share_prior4"":1.4413849787255726,""prev__receiving_yards"":1.0611446784741605,""prev_fantasy_ppg"":1.0523650071020134,""opportunity_xfp_realized_prior4"":0.5572018604724737,""prev__receptions"":0.5278636423808406,""opportunity_change_score_prior1"":-0.34341168088695506,""receiving_competition_index_prior4"":-0.33207424475168085,""offense_snap_share_prior4"":0.26079067699515707}",validated_candidate,VALIDATED_POSITION_SHADOW,True,174.9012162528697,10.2883068384041,174.9012162528697,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,174.9012162528697,,-105.21051259119298,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""target_share_prior4"":1.4413849787255726,""prev__receiving_yards"":1.0611446784741605,""prev_fantasy_ppg"":1.0523650071020134,""opportunity_xfp_realized_prior4"":0.5572018604724737,""prev__receptions"":0.5278636423808406,""opportunity_change_score_prior1"":-0.34341168088695506,""receiving_competition_index_prior4"":-0.33207424475168085,""offense_snap_share_prior4"":0.26079067699515707}",94,3.0,18.0,True,-15.0,174.9012162528697,-22.71172884406268,87.09871794871796,109.81044679278064,152.189487408807,-105.21051259119298,-40.874325016003496,19.0,-16.0,True,124.25434692105664,137.30804842294052,152.06097695228607,166.59422910848255,180.60109123258428,"FIE diagnostic is lower; main model signals: recent target share, prior receiving-yard production, prior-season fantasy production.",Validated preseason model,16.0
