position,test_season,metric,model,decile,n,mean_prediction,mean_actual,bias
QB,2022,PPG,V972,1,6,3.743051582193997,6.9562362637362645,-3.2131846815422676
QB,2022,PPG,V972,2,5,6.217010430192528,4.2995238095238095,1.9174866206687184
QB,2022,PPG,V972,3,5,8.130301680283155,8.39415294117647,-0.2638512608933148
QB,2022,PPG,V972,4,6,10.448623408925267,12.401742859536975,-1.9531194506117089
QB,2022,PPG,V972,5,5,12.228833144607858,8.718266666666668,3.5105664779411896
QB,2022,PPG,V972,6,5,13.950772694881412,12.513430303030304,1.4373423918511072
QB,2022,PPG,V972,7,6,15.39690505292915,13.9425,1.4544050529291486
QB,2022,PPG,V972,8,5,16.729279529633203,15.38311559290383,1.3461639367293738
QB,2022,PPG,V972,9,5,17.886405575777367,18.152180392156865,-0.26577481637949774
QB,2022,PPG,V972,10,6,20.342082061319097,21.16578022875817,-0.8236981674390726
QB,2022,PPG,M9,1,6,3.592973869724922,7.202902930402931,-3.6099290606780086
QB,2022,PPG,M9,2,5,5.675619339565749,2.166666666666667,3.508952672899082
QB,2022,PPG,M9,3,5,8.19979571759087,7.534714285714287,0.6650814318765832
QB,2022,PPG,M9,4,6,11.040457134297476,12.34463071895425,-1.3041735846567732
QB,2022,PPG,M9,5,5,12.378508299834426,13.852135947712418,-1.4736276478779917
QB,2022,PPG,M9,6,5,13.22136121204925,11.07176556776557,2.1495956442836786
QB,2022,PPG,M9,7,6,13.770814275206055,13.463691919191922,0.3071223560141334
QB,2022,PPG,M9,8,5,15.561255383153759,14.473322875816995,1.0879325073367632
QB,2022,PPG,M9,9,5,17.428159517772812,19.657918627450982,-2.22975910967817
QB,2022,PPG,M9,10,6,20.40218119405225,20.37515522875817,0.027025965294079413
QB,2022,SEASON,V972,1,6,21.893405747610384,53.09,-31.19659425238962
QB,2022,SEASON,V972,2,5,34.274111967973695,30.056,4.2181119679736945
QB,2022,SEASON,V972,3,5,48.624696333902364,73.592,-24.967303666097635
QB,2022,SEASON,V972,4,6,74.01514159408988,69.43333333333332,4.58180826075656
QB,2022,SEASON,V972,5,5,120.20764441101228,141.88000000000002,-21.67235558898774
QB,2022,SEASON,V972,6,5,157.48499910960146,166.504,-9.01900089039853
QB,2022,SEASON,V972,7,6,201.35875032717385,168.94333333333336,32.415416993840495
QB,2022,SEASON,V972,8,5,236.5215574490738,188.50799999999998,48.01355744907383
QB,2022,SEASON,V972,9,5,246.0543988278552,268.76800000000003,-22.71360117214482
QB,2022,SEASON,V972,10,6,279.04971010111444,324.44,-45.390289898885555
QB,2022,SEASON,M9,1,6,20.852295112802825,20.503333333333334,0.3489617794694908
QB,2022,SEASON,M9,2,5,33.01765023354845,59.872,-26.85434976645155
QB,2022,SEASON,M9,3,5,49.215407127364315,23.996,25.219407127364317
QB,2022,SEASON,M9,4,6,76.50325514210026,118.50333333333333,-42.00007819123307
QB,2022,SEASON,M9,5,5,134.8771953530802,131.356,3.521195353080202
QB,2022,SEASON,M9,6,5,151.3076896260036,201.47200000000004,-50.16431037399644
QB,2022,SEASON,M9,7,6,174.41543197187514,171.46333333333334,2.9520986385417984
QB,2022,SEASON,M9,8,5,204.78644924694723,195.16400000000004,9.622449246947184
QB,2022,SEASON,M9,9,5,234.63858743339944,257.968,-23.32941256660058
QB,2022,SEASON,M9,10,6,276.94811370545114,305.00333333333333,-28.055219627882195
QB,2023,PPG,V972,1,6,4.026643393614326,8.640450980392156,-4.61380758677783
QB,2023,PPG,V972,2,5,7.060712622278008,5.536,1.5247126222780087
QB,2023,PPG,V972,3,5,8.658429131683786,13.203633333333334,-4.545204201649549
QB,2023,PPG,V972,4,5,10.173930189634621,7.110666666666667,3.0632635229679543
QB,2023,PPG,V972,5,6,11.943999963914242,10.126055555555556,1.8179444083586862
QB,2023,PPG,V972,6,5,12.971375805213551,13.323884967320263,-0.35250916210671157
QB,2023,PPG,V972,7,5,14.737464688077296,13.859083778966129,0.8783809091111667
QB,2023,PPG,V972,8,5,16.017226848530232,12.506846153846155,3.510380694684077
QB,2023,PPG,V972,9,5,17.65193961601311,16.605514705882353,1.0464249101307566
QB,2023,PPG,V972,10,6,20.603544437479623,18.551375062845654,2.0521693746339693
QB,2023,PPG,M9,1,6,4.791495400876249,8.812117647058823,-4.020622246182574
QB,2023,PPG,M9,2,5,7.55766013510449,5.676399999999999,1.8812601351044904
QB,2023,PPG,M9,3,5,9.988087575941954,11.7179,-1.7298124240580464
QB,2023,PPG,M9,4,5,11.493351576466251,12.29566274509804,-0.802311168631789
QB,2023,PPG,M9,5,6,12.514627490318125,10.436540404040404,2.078087086277721
QB,2023,PPG,M9,6,5,13.249208295858399,10.43113725490196,2.818071040956438
QB,2023,PPG,M9,7,5,13.864816948352871,12.070570261437911,1.7942466869149598
QB,2023,PPG,M9,8,5,14.768202428006788,14.390377526395174,0.3778249016116142
QB,2023,PPG,M9,9,5,16.487075332099657,15.57705,0.9100253320996572
QB,2023,PPG,M9,10,6,20.073154284236576,18.05800006284565,2.015154221390926
QB,2023,SEASON,V972,1,6,20.164410033409094,72.49666666666667,-52.33225663325757
QB,2023,SEASON,V972,2,5,37.58457730188654,57.88799999999999,-20.30342269811345
QB,2023,SEASON,V972,3,5,47.41055769246899,71.852,-24.441442307531013
QB,2023,SEASON,V972,4,5,66.6747450223631,29.976000000000006,36.69874502236309
QB,2023,SEASON,V972,5,6,95.66705033746949,142.44333333333336,-46.776282995863866
QB,2023,SEASON,V972,6,5,146.7793157546435,128.26000000000005,18.519315754643458
QB,2023,SEASON,V972,7,5,173.18331230157756,155.856,17.327312301577564
QB,2023,SEASON,V972,8,5,203.76428931216452,167.4,36.364289312164516
QB,2023,SEASON,V972,9,5,247.7309734412057,212.12400000000002,35.60697344120567
QB,2023,SEASON,V972,10,6,280.3049895426058,268.7266666666667,11.578322875939136
QB,2023,SEASON,M9,1,6,24.8074289784176,72.49666666666667,-47.689237688249065
QB,2023,SEASON,M9,2,5,46.981143920686876,59.67999999999999,-12.698856079313117
QB,2023,SEASON,M9,3,5,56.15333549675563,69.88,-13.726664503244365
QB,2023,SEASON,M9,4,5,72.53609492458398,51.879999999999995,20.656094924583982
QB,2023,SEASON,M9,5,6,98.45431571490197,131.02333333333334,-32.569017618431374
QB,2023,SEASON,M9,6,5,136.86442342045203,95.94000000000001,40.924423420452015
QB,2023,SEASON,M9,7,5,164.59024804866849,158.81199999999998,5.778248048668502
QB,2023,SEASON,M9,8,5,192.2741253039996,176.208,16.0661253039996
QB,2023,SEASON,M9,9,5,219.7735799998603,259.28800000000007,-39.51442000013978
QB,2023,SEASON,M9,10,6,263.2339881587532,239.87,23.363988158753216
QB,2024,PPG,V972,1,6,4.910071931688505,4.747944444444444,0.162127487244061
QB,2024,PPG,V972,2,5,7.021474035262041,5.983270562770562,1.038203472491479
QB,2024,PPG,V972,3,6,8.712481925830284,11.25593137254902,-2.5434494467187356
QB,2024,PPG,V972,4,5,10.761752712767656,8.486568253968255,2.2751844587994015
QB,2024,PPG,V972,5,6,12.003345171608215,8.864523809523808,3.138821362084407
QB,2024,PPG,V972,6,5,13.675005534129648,6.471345454545455,7.203660079584193
QB,2024,PPG,V972,7,5,14.93980225619256,16.752796218487397,-1.8129939622948363
QB,2024,PPG,V972,8,6,15.6906794257268,16.235918003565065,-0.5452385778382638
QB,2024,PPG,V972,9,5,16.456810834656316,17.521033957219252,-1.064223122562936
QB,2024,PPG,V972,10,6,19.186739287378455,18.62584885620915,0.5608904311693053
QB,2024,PPG,M9,1,6,4.08391319618642,6.856724301841948,-2.772811105655528
QB,2024,PPG,M9,2,5,6.608733318066619,4.470066666666666,2.1386666513999533
QB,2024,PPG,M9,3,6,9.697916235356173,10.318595238095238,-0.620679002739065
QB,2024,PPG,M9,4,5,11.125611916435734,9.950433333333333,1.1751785831024009
QB,2024,PPG,M9,5,6,12.18645575075063,12.642775599128539,-0.45631984837790895
QB,2024,PPG,M9,6,5,13.741964122709135,8.694779411764705,5.04718471094443
QB,2024,PPG,M9,7,5,14.559398078770249,9.63283361344538,4.926564465324869
QB,2024,PPG,M9,8,6,15.704018596195445,17.22184499405823,-1.5178263978627857
QB,2024,PPG,M9,9,5,16.70841483248123,14.378992513368985,2.3294223191122434
QB,2024,PPG,M9,10,6,18.29729980301708,19.430150443510737,-1.1328506404936576
QB,2024,SEASON,V972,1,6,28.029521140814087,27.12666666666667,0.9028544741474178
QB,2024,SEASON,V972,2,5,42.37317702074388,44.164,-1.79082297925612
QB,2024,SEASON,V972,3,6,61.86093726463607,91.54333333333334,-29.682396068697265
QB,2024,SEASON,V972,4,5,77.64934174328022,69.82,7.829341743280224
QB,2024,SEASON,V972,5,6,101.09761902288803,87.57333333333332,13.524285689554702
QB,2024,SEASON,V972,6,5,130.1251095329483,198.54000000000002,-68.41489046705172
QB,2024,SEASON,V972,7,5,178.28020382281284,130.21200000000002,48.06820382281282
