position,test_season,metric,model,decile,n,mean_prediction,mean_actual,bias
QB,2022,PPG,V972,1,6,4.506438723791303,8.287738095238096,-3.781299371446793
QB,2022,PPG,V972,2,5,7.437321457216802,5.028095238095238,2.409226219121564
QB,2022,PPG,V972,3,5,9.90721703855662,10.014152941176471,-0.10693590261985086
QB,2022,PPG,V972,4,6,12.501251067416192,12.212870370370373,0.2883806970458185
QB,2022,PPG,V972,5,5,14.723568479633968,14.675323076923075,0.048245402710893615
QB,2022,PPG,V972,6,5,16.762596739218687,13.756812121212121,3.0057846180065653
QB,2022,PPG,V972,7,6,18.455145590998455,17.164685185185185,1.2904604058132705
QB,2022,PPG,V972,8,5,19.956774417317522,18.31915910364146,1.6376153136760614
QB,2022,PPG,V972,9,5,21.761255625606125,21.76963137254902,-0.008375746942896
QB,2022,PPG,V972,10,6,24.28658535481797,25.253031417112297,-0.9664460622943274
QB,2022,PPG,M9,1,6,4.100813332258437,8.387738095238095,-4.286924762979658
QB,2022,PPG,M9,2,5,6.837661555535,2.642666666666667,4.194994888868333
QB,2022,PPG,M9,3,5,9.85506021374276,8.92042857142857,0.9346316423141907
QB,2022,PPG,M9,4,6,13.302180864965555,15.702545751633986,-2.400364886668431
QB,2022,PPG,M9,5,5,15.029965070262772,15.195644444444445,-0.1656793741816731
QB,2022,PPG,M9,6,5,15.831245909465576,15.551335775335776,0.2799101341297998
QB,2022,PPG,M9,7,6,16.596393905217326,15.438287878787877,1.158106026429449
QB,2022,PPG,M9,8,5,18.767318494474715,17.730278431372547,1.0370400631021681
QB,2022,PPG,M9,9,5,21.080648097924513,22.368969607843137,-1.2883215099186245
QB,2022,PPG,M9,10,6,24.408257213583216,24.351295306001187,0.05696190758202846
QB,2022,SEASON,V972,1,6,26.529724713784233,62.51666666666666,-35.986941952882425
QB,2022,SEASON,V972,2,5,41.050193564859455,35.344,5.706193564859454
QB,2022,SEASON,V972,3,5,58.73463184930186,88.792,-30.05736815069814
QB,2022,SEASON,V972,4,6,88.61651428436858,82.76666666666667,5.849847617701911
QB,2022,SEASON,V972,5,5,143.95966870440176,172.28,-28.320331295598237
QB,2022,SEASON,V972,6,5,188.4256297180712,195.10399999999998,-6.678370281928778
QB,2022,SEASON,V972,7,6,242.38107954679958,204.44333333333336,37.93774621346623
QB,2022,SEASON,V972,8,5,282.47992754235094,253.27599999999998,29.203927542350954
QB,2022,SEASON,V972,9,5,296.3358544717129,293.0,3.335854471712878
QB,2022,SEASON,V972,10,6,337.7150685056674,392.1066666666666,-54.39159816099925
QB,2022,SEASON,M9,1,6,24.122398377869434,23.50333333333333,0.6190650445361037
QB,2022,SEASON,M9,2,5,39.59271240729879,70.87199999999999,-31.279287592701195
QB,2022,SEASON,M9,3,5,59.16221589538397,27.796,31.366215895383974
QB,2022,SEASON,M9,4,6,91.82222451538456,143.00333333333333,-51.18110881794877
QB,2022,SEASON,M9,5,5,160.00266836576208,154.356,5.646668365762082
QB,2022,SEASON,M9,6,5,183.92061056688232,241.67199999999997,-57.75138943311765
QB,2022,SEASON,M9,7,6,207.99052435594,206.7966666666667,1.193857689273301
QB,2022,SEASON,M9,8,5,249.03756990076369,251.65599999999995,-2.6184300992362637
QB,2022,SEASON,M9,9,5,282.07856418801157,263.152,18.926564188011582
QB,2022,SEASON,M9,10,6,335.99325739268545,392.1066666666666,-56.113409273981176
QB,2023,PPG,V972,1,6,4.704525134622743,10.796333333333331,-6.091808198710589
QB,2023,PPG,V972,2,5,8.505960929815501,6.706,1.7999609298155006
QB,2023,PPG,V972,3,5,10.39098766501233,12.830933333333334,-2.4399456683210037
QB,2023,PPG,V972,4,5,12.19508747368375,10.3077,1.8873874736837486
QB,2023,PPG,V972,5,6,14.194278986669238,13.411333333333333,0.7829456533359043
QB,2023,PPG,V972,6,5,15.582964781113139,17.711277310924366,-2.128312529811227
QB,2023,PPG,V972,7,5,17.655656227816785,15.161320499108735,2.49433572870805
QB,2023,PPG,V972,8,5,19.231151917710015,15.041122171945702,4.190029745764313
QB,2023,PPG,V972,9,5,21.252099061110375,18.903285294117648,2.348813766992727
QB,2023,PPG,V972,10,6,24.346858736930503,22.87053431372549,1.4763244232050141
QB,2023,PPG,M9,1,6,5.579676813257521,11.051333333333332,-5.471656520075811
QB,2023,PPG,M9,2,5,8.962861197939029,6.699733333333333,2.2631278646056963
QB,2023,PPG,M9,3,5,12.088199634041578,13.8691,-1.7809003659584217
QB,2023,PPG,M9,4,5,13.76375248577124,14.290839215686272,-0.5270867299150321
QB,2023,PPG,M9,5,6,15.038454315157542,13.447358585858586,1.5910957292989565
QB,2023,PPG,M9,6,5,16.009867928152158,13.435058823529413,2.5748091046227444
QB,2023,PPG,M9,7,5,16.695653610541278,9.80192142857143,6.893732181969849
QB,2023,PPG,M9,8,5,17.825228955048466,21.564602564102564,-3.7393736090540983
QB,2023,PPG,M9,9,5,19.604586548312724,16.01755,3.5870365483127244
QB,2023,PPG,M9,10,6,23.69302218784068,23.398536764705884,0.29448542313479464
QB,2023,SEASON,V972,1,6,23.872688682279612,88.66333333333331,-64.7906446510537
QB,2023,SEASON,V972,2,5,44.99337280588691,69.888,-24.8946271941131
QB,2023,SEASON,V972,3,5,56.32970536984824,87.852,-31.522294630151762
QB,2023,SEASON,V972,4,5,79.30834372400008,40.536,38.77234372400008
QB,2023,SEASON,V972,5,6,115.99427507725402,168.31,-52.315724922745986
QB,2023,SEASON,V972,6,5,174.3821190686583,152.06,22.32211906865831
QB,2023,SEASON,V972,7,5,207.8695033540836,191.05599999999998,16.813503354083622
QB,2023,SEASON,V972,8,5,242.91799871384546,203.4,39.51799871384546
QB,2023,SEASON,V972,9,5,298.0682858242358,233.82800000000006,64.24028582423571
QB,2023,SEASON,V972,10,6,333.7802104634209,335.3066666666667,-1.5264562032458002
QB,2023,SEASON,M9,1,6,29.289266304112427,88.66333333333331,-59.37406702922088
