test_season,model,decile,n,mean_prediction,mean_actual,bias
2022,ENSEMBLE,1,6,3.4812465769447365,6.7698809523809516,-3.288634375436215
2022,ENSEMBLE,2,5,6.098870832644618,1.6866666666666668,4.412204165977951
2022,ENSEMBLE,3,5,7.860968900443368,7.0776571428571415,0.7833117575862261
2022,ENSEMBLE,4,6,10.415163019559065,12.920598350451293,-2.5054353308922277
2022,ENSEMBLE,5,5,12.204467700927017,12.669548717948718,-0.465081017021701
2022,ENSEMBLE,6,5,13.269321191786952,10.551933333333334,2.717387858453618
2022,ENSEMBLE,7,6,14.353242423430082,13.904821272953624,0.4484211504764577
2022,ENSEMBLE,8,5,15.557079520734481,15.023911111111113,0.533168409623368
2022,ENSEMBLE,9,5,17.41548032209666,18.865930392156862,-1.450450070060203
2022,ENSEMBLE,10,6,20.022058262471557,20.019521687462866,0.0025365750086905337
2022,V972,1,6,3.5754749869020723,6.7698809523809516,-3.1944059654788792
2022,V972,2,5,5.880714400554397,3.79952380952381,2.081190591030587
2022,V972,3,5,8.001696435588723,8.243858823529411,-0.242162387940688
2022,V972,4,6,10.086494630117231,12.110228818022938,-2.0237341879057062
2022,V972,5,5,12.000032234450863,8.691600000000003,3.3084322344508603
2022,V972,6,5,13.76612746463141,12.2004,1.5657274646314097
2022,V972,7,6,15.062975133089601,13.790879629629629,1.2720955034599726
2022,V972,8,5,16.247121420795775,15.183507749766573,1.0636136710292021
2022,V972,9,5,17.78805925814185,17.64341176470588,0.1446474934359685
2022,V972,10,6,20.08503884895767,21.038287210338684,-0.9532483613810143
2022,M9,1,6,3.386355543098709,6.869880952380952,-3.483525409282243
2022,M9,2,5,5.4711607535318,2.242666666666667,3.228494086865133
2022,M9,3,5,7.911963343318763,7.024000000000001,0.8879633433187619
2022,M9,4,6,10.729561505515685,12.10606862745098,-1.3765071219352958
2022,M9,5,5,12.238029848199503,13.456841830065361,-1.2188119818658585
2022,M9,6,5,12.933042526203598,9.478714285714286,3.4543282404893123
2022,M9,7,6,13.490920807458842,14.545475783475782,-1.0545549760169397
2022,M9,8,5,15.357851122765524,15.398497385620917,-0.04064626285539319
2022,M9,9,5,17.204439858092204,18.363577450980394,-1.1591375928881895
