position,feature,source_scope,evidence_target,consumer,mean_improvement,fdr_q,evidence_tier,activation_status,auto_activation
TE,offense_snap_share_prior4,horizon,breakout,breakout_probability,0.0583185109604364,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,horizon,breakout,breakout_probability,0.06305775331372684,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,offense_snap_share_prior4,horizon,ceiling,ceiling_upside_distribution,0.02220561229489652,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,horizon,ceiling,ceiling_upside_distribution,0.03041143431109667,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,offense_snap_share_prior4,horizon,floor,floor_risk_distribution,0.03498813047873792,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,horizon,floor,floor_risk_distribution,0.027635701314840277,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,offense_snap_share_prior4,horizon,next_3_games,next3_projection,0.04206484811812056,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,horizon,next_3_games,next3_projection,0.04724336362010616,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,offense_snap_share_prior4,component,target_volume,receiving_target_volume,0.0778624652245057,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,receiving_competition_index_prior4,component,target_volume,receiving_target_volume,0.020759236679642936,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,red_zone_target_share_prior4,component,target_volume,receiving_target_volume,0.014483478099089477,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,component,target_volume,receiving_target_volume,0.10673929228047359,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,offense_snap_share_prior4,horizon,rest_of_season,ros_projection,0.05160569353304841,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,receiving_competition_index_prior4,horizon,rest_of_season,ros_projection,0.011791661601757993,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,horizon,rest_of_season,ros_projection,0.05501869318689332,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,offense_snap_share_prior4,horizon,next_week,weekly_forward_projection,0.025746989118875747,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
TE,target_share_prior4,horizon,next_week,weekly_forward_projection,0.023348534972228226,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,offense_snap_share_prior4,horizon,breakout,breakout_probability,0.06051159405218925,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,horizon,breakout,breakout_probability,0.04892589550659921,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,horizon,ceiling,ceiling_upside_distribution,0.016147213436111318,0.4,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,offense_snap_share_prior4,horizon,floor,floor_risk_distribution,0.05947720477790611,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,horizon,floor,floor_risk_distribution,0.04552684103757295,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,offense_snap_share_prior4,horizon,next_3_games,next3_projection,0.032893232165877175,0.3025210084033613,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,horizon,next_3_games,next3_projection,0.03924566696579724,0.3025210084033613,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,offense_snap_share_prior4,component,target_volume,receiving_target_volume,0.09745381134106791,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,receiving_competition_index_prior4,component,target_volume,receiving_target_volume,0.026186633553450606,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,component,target_volume,receiving_target_volume,0.10985839452457008,0.21176470588235294,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,offense_snap_share_prior4,horizon,rest_of_season,ros_projection,0.03089615722058888,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,horizon,rest_of_season,ros_projection,0.04702550476814663,0.2647058823529412,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,offense_snap_share_prior4,horizon,next_week,weekly_forward_projection,0.022220941456850937,0.3025210084033613,tier1_temporal_gate_only,research_only_manual_integration_required,False
WR,target_share_prior4,horizon,next_week,weekly_forward_projection,0.023804681352127138,0.3025210084033613,tier1_temporal_gate_only,research_only_manual_integration_required,False
