position,family,feature,non_null_n,total_n,coverage,player_n,season_n,first_season,last_season,same_week_spearman,same_week_n,next1_spearman,next1_n,next3_spearman,next3_n,ros_spearman,ros_n,persistence_spearman,max_peer_abs_corr,most_correlated_peer,estimated_total_folds_needed,weekly_fdr_q,season_fdr_q,multiplicity_support,evidence_status,why,validated_horizons,validated_components,weekly_folds,weekly_mean,weekly_positive_folds,weekly_required_positive_folds,weekly_ci95_low,weekly_ci95_high,weekly_robust,weekly_sign_flip_p,season_folds,season_mean,season_positive_folds,season_required_positive_folds,season_ci95_low,season_ci95_high,season_robust,season_sign_flip_p
QB,rushing_leverage,qb_rush_share_prior4,4180,4490,0.9309576837416481,140,7,2019,2025,0.2798508887883138,4180,0.2393660145420643,3670,0.2759212396323855,3670,0.28505391074006853,3670,0.9220368973675808,0.6211042802056007,m7_qb_rush_goal_role,,,0.2222222222222222,not_fdr_supported_or_not_testable,mechanism_specific,"Does not clear the direct fantasy-point gate, but adds robust OOS information for the football component(s): rush_volume",[],['rush_volume'],1,0.0006867398456539768,1,2,,,False,,3,0.059340087243751956,3,3,0.028479200526738725,0.08448025750488758,False,0.2222222222222222
QB,rushing_leverage,inside_5_carry_share_prior4,1572,4490,0.35011135857461023,87,7,2019,2025,0.0689071030706487,1572,0.030795090447179853,1420,0.02025489839435021,1420,-0.00010686069207271815,1420,0.8193439829677511,0.8918491901216898,m7_qb_rush_goal_role,,,,not_fdr_supported_or_not_testable,redundant_or_explanatory,Strong association overlaps heavily with another feature and adds little residual value.,[],[],1,-0.001417937918914074,0,2,,,False,,2,0.1269051600198505,2,2,,,False,
QB,rushing_leverage,m7_qb_rush_goal_role,1572,4490,0.35011135857461023,87,7,2019,2025,0.14379021254669266,1572,0.1218938602230822,1420,0.13590783121537262,1420,0.11781840082179879,1420,0.8581636845577557,0.89184919012169,inside_5_carry_share_prior4,,,,not_fdr_supported_or_not_testable,mechanism_specific,"Does not clear the direct fantasy-point gate, but adds robust OOS information for the football component(s): rush_volume",[],['rush_volume'],1,-0.00039177591461880297,0,2,,,False,,2,0.143145061291301,2,2,,,False,
QB,regression,xfp_residual_prior4,2008,4490,0.4472160356347439,109,4,2022,2025,0.22143371572696302,2008,0.18398866325534816,1751,0.25366143474653674,1751,0.29926171182257477,1751,0.821274145533736,0.0926986826211976,opportunity_xfp_realized_prior4,,,,not_fdr_supported_or_not_testable,descriptive_not_incremental,"Predictive association exists, but it does not improve the already-informed FIE baseline.",[],[],1,-0.0019917353716117207,0,2,,,False,,1,0.008796200004690691,1,2,,,False,
QB,regression,opportunity_xfp_realized_prior4,2008,4490,0.4472160356347439,109,4,2022,2025,0.3585127864562585,2008,0.28621400085179927,1751,0.3271725978692813,1751,0.3423754852444384,1751,0.8969221673342309,0.0926986826211976,xfp_residual_prior4,,,,not_fdr_supported_or_not_testable,descriptive_not_incremental,"Predictive association exists, but it does not improve the already-informed FIE baseline.",[],[],1,0.0009067454371117938,1,2,,,False,,1,0.014383760638897456,1,2,,,False,
RB,opportunity,offense_snap_share_prior4,8550,10604,0.8062995096190116,312,7,2019,2025,0.6459876915308744,8550,0.6135298261952938,7623,0.6737001201147754,7623,0.6830235969121956,7623,0.9761365194760986,0.8749013211894262,carry_share_prior4,,,0.7619047619047619,not_fdr_supported_or_not_testable,horizon_specific,"Fails the same-week residual gate but clears at least one independently validated future/tail horizon: breakout, ceiling, floor, next_3_games, next_week, rest_of_season","['breakout', 'ceiling', 'floor', 'next_3_games', 'next_week', 'rest_of_season']","['carry_volume', 'target_volume']",1,-0.00197230731122572,0,2,,,False,,3,0.005160137721604373,2,3,-0.058783925627652875,0.054836980299520284,False,0.5555555555555556
RB,opportunity,carry_share_prior4,9924,10604,0.9358732553753301,316,7,2019,2025,0.6312282846982263,9924,0.6033101113544836,8912,0.6676358697622021,8912,0.6844187542670487,8912,0.9727359274239393,0.8749013211894262,offense_snap_share_prior4,,,0.7619047619047619,not_fdr_supported_or_not_testable,horizon_specific,"Fails the same-week residual gate but clears at least one independently validated future/tail horizon: breakout, floor, next_3_games, next_week, rest_of_season","['breakout', 'floor', 'next_3_games', 'next_week', 'rest_of_season']","['carry_volume', 'target_volume']",1,0.00702366574529113,1,2,,,False,,3,0.006948493029652611,2,3,-0.051231709951659314,0.06736081365851547,False,0.4444444444444444
RB,opportunity,target_share_prior4,9924,10604,0.9358732553753301,316,7,2019,2025,0.5421294387363637,9924,0.5145751347238429,8912,0.5611217489414806,8912,0.5739942230404466,8912,0.9376531373406419,0.7929439189674824,offense_snap_share_prior4,,,0.7619047619047619,not_fdr_supported_or_not_testable,horizon_specific,Fails the same-week residual gate but clears at least one independently validated future/tail horizon: rest_of_season,['rest_of_season'],"['carry_volume', 'target_volume']",1,0.009096249940114015,1,2,,,False,,3,-0.002600884510935907,1,3,-0.06335328879019671,0.06472473059797436,False,0.6666666666666666
RB,opportunity,red_zone_carry_share_prior4,6796,10604,0.6408902301018483,247,7,2019,2025,0.3706894897560027,6796,0.3520517212477545,6185,0.4053091738417816,6185,0.4080457547103862,6185,0.8885119690782954,0.7647806373152192,carry_share_prior4,,,0.7619047619047619,not_fdr_supported_or_not_testable,horizon_specific,Fails the same-week residual gate but clears at least one independently validated future/tail horizon: breakout,['breakout'],"['carry_volume', 'target_volume']",1,0.011046499312788107,1,2,,,False,,3,0.03160677109530906,2,3,-0.0323143832582398,0.07768227105662318,False,0.3333333333333333
RB,opportunity,inside_5_carry_share_prior4,5286,10604,0.498491135420596,231,7,2019,2025,0.2959692837620727,5286,0.28629168928422105,4825,0.33639448011440554,4825,0.33842824114023473,4825,0.8799625508123625,0.7629992136961055,red_zone_carry_share_prior4,,,0.7619047619047619,not_fdr_supported_or_not_testable,mechanism_specific,"Does not clear the direct fantasy-point gate, but adds robust OOS information for the football component(s): carry_volume",[],['carry_volume'],1,0.01028645819587498,1,2,,,False,,3,0.04799796461784766,3,3,0.005987846328881775,0.10543570886021796,False,0.2222222222222222
RB,opportunity,opportunity_change_score_prior1,3094,10604,0.2917766880422482,183,4,2022,2025,0.20699118350726625,3094,0.18390668770739887,2685,0.19714080126755248,2685,0.19387473836657562,2685,0.6586613380752757,0.3351110252413351,target_share_prior4,,,,not_fdr_supported_or_not_testable,insufficient_coverage,Too little observed history to make a stable incremental claim.,[],[],1,-0.003441927255294403,0,2,,,False,,2,-0.11672359910461504,0,2,,,False,
RB,receiving_role,target_share_prior4,9924,10604,0.9358732553753301,316,7,2019,2025,0.5421294387363637,9924,0.5145751347238429,8912,0.5611217489414806,8912,0.5739942230404466,8912,0.9376531373406419,,,,,0.7619047619047619,not_fdr_supported_or_not_testable,horizon_specific,Fails the same-week residual gate but clears at least one independently validated future/tail horizon: rest_of_season,['rest_of_season'],"['carry_volume', 'target_volume']",1,0.009096249940114015,1,2,,,False,,3,-0.002600884510935907,1,3,-0.06335328879019671,0.06472473059797436,False,0.6666666666666666
RB,competition,backfield_competition_index_prior4,9924,10604,0.9358732553753301,316,7,2019,2025,-0.5033126603423451,9924,-0.47889359097638123,8912,-0.5288030264020565,8912,-0.5441976553120341,8912,0.9447241825629137,0.3899902415334426,backfield_competitor_count,,,0.7777777777777778,not_fdr_supported_or_not_testable,horizon_specific,"Fails the same-week residual gate but clears at least one independently validated future/tail horizon: breakout, floor, next_3_games, next_week, rest_of_season","['breakout', 'floor', 'next_3_games', 'next_week', 'rest_of_season']","['carry_volume', 'target_volume']",1,0.008138738547194749,1,2,,,False,,3,-0.0005438087634627154,1,3,-0.06633644402636539,0.06492178831407885,False,0.7777777777777778
RB,competition,backfield_competitor_count,10604,10604,1.0,356,7,2019,2025,-0.38094823239980885,10604,-0.33218978065303206,9531,-0.36088381484280263,9531,-0.3657106952374837,9531,0.595058182019065,0.3899902415334426,backfield_competition_index_prior4,,,0.7619047619047619,not_fdr_supported_or_not_testable,horizon_specific,"Fails the same-week residual gate but clears at least one independently validated future/tail horizon: breakout, floor, next_3_games, rest_of_season","['breakout', 'floor', 'next_3_games', 'rest_of_season']","['carry_volume', 'target_volume']",1,0.01601642262297101,1,2,,,False,,3,-0.005131765767534368,1,3,-0.05013987355459932,0.05993413781736961,False,0.6666666666666666
RB,regression,xfp_residual_prior4,5008,10604,0.4722746133534515,228,4,2022,2025,0.011857234522659695,5008,0.009505163618640301,4489,0.018666076421272382,4489,0.02966538331032943,4489,0.7696335885210055,0.07184329118355323,opportunity_xfp_realized_prior4,,,,not_fdr_supported_or_not_testable,no_incremental_evidence,Current history shows little stable incremental predictive value.,[],[],1,-0.000587345064547035,0,2,,,False,,2,-0.08111287090565815,0,2,,,False,
RB,regression,opportunity_xfp_realized_prior4,5008,10604,0.4722746133534515,228,4,2022,2025,0.686367556622509,5008,0.660046763498647,4489,0.727015239341039,4489,0.7368275305847204,4489,0.9730871413749127,0.07184329118355323,xfp_residual_prior4,,,,not_fdr_supported_or_not_testable,descriptive_not_incremental,"Predictive association exists, but it does not improve the already-informed FIE baseline.",[],[],1,-0.0008265011460499604,0,2,,,False,,2,-0.034979409219941436,1,2,,,False,
WR,opportunity,offense_snap_share_prior4,13647,16859,0.80947861676256,470,7,2019,2025,0.5820612675845911,13647,0.5532644527304985,12201,0.6429127739384339,12201,0.6591705757114201,12201,0.9763139675929451,0.8647146245520426,target_share_prior4,,,0.26666666666666666,not_fdr_supported_or_not_testable,horizon_specific,"Fails the same-week residual gate but clears at least one independently validated future/tail horizon: breakout, floor, next_3_games, next_week, rest_of_season","['breakout', 'floor', 'next_3_games', 'next_week', 'rest_of_season']",['target_volume'],1,-0.01375832976078559,0,2,,,False,,3,0.0571428537282019,3,3,0.014094263116173867,0.10815945443342298,False,0.2222222222222222
