position,family,feature,scope,test_season,n_test,base_mae,adjusted_mae,improvement
RB,opportunity,inside_5_carry_share_prior4,next_season,2023,56,,,0.10543570886021796
RB,opportunity,inside_5_carry_share_prior4,next_season,2024,60,,,0.005987846328881776
RB,opportunity,inside_5_carry_share_prior4,next_season,2025,51,,,0.03435273755442051
RB,opportunity,opportunity_change_score_prior1,weekly,2025,802,4.841468370282808,4.85813235222213,-0.003441927255294403
RB,opportunity,opportunity_change_score_prior1,next_season,2024,88,,,-0.19285345324774844
RB,opportunity,opportunity_change_score_prior1,next_season,2025,89,,,-0.0414491365810674
RB,receiving_role,target_share_prior4,weekly,2025,1507,4.4045271767396414,4.364462496671993,0.009096249940114015
RB,receiving_role,target_share_prior4,next_season,2023,112,,,0.06472473059797436
RB,receiving_role,target_share_prior4,next_season,2024,107,,,-0.06335328879019671
RB,receiving_role,target_share_prior4,next_season,2025,104,,,-0.012600515610138256
RB,competition,backfield_competition_index_prior4,weekly,2025,1507,4.4045271767396414,4.368679881624144,0.008138738547194749
RB,competition,backfield_competition_index_prior4,next_season,2023,112,,,0.06492178831407885
RB,competition,backfield_competition_index_prior4,next_season,2024,107,,,-0.06633644402636539
RB,competition,backfield_competition_index_prior4,next_season,2025,104,,,-0.003354721259174919
RB,competition,backfield_competitor_count,weekly,2025,1575,4.431082366209873,4.360112278355461,0.01601642262297101
RB,competition,backfield_competitor_count,next_season,2023,114,,,0.0599341378173696
RB,competition,backfield_competitor_count,next_season,2024,108,,,-0.05013987355459931
RB,competition,backfield_competitor_count,next_season,2025,106,,,-0.02925098621730831
RB,regression,xfp_residual_prior4,weekly,2025,1284,4.496526166482638,4.499167178934128,-0.000587345064547035
RB,regression,xfp_residual_prior4,next_season,2024,100,,,-0.14737762273362767
RB,regression,xfp_residual_prior4,next_season,2025,100,,,-0.014848119077688644
RB,regression,opportunity_xfp_realized_prior4,weekly,2025,1284,4.496526166482638,4.500242550512479,-0.0008265011460499604
RB,regression,opportunity_xfp_realized_prior4,next_season,2024,100,,,-0.08956436506064401
RB,regression,opportunity_xfp_realized_prior4,next_season,2025,100,,,0.019605546620761142
WR,opportunity,offense_snap_share_prior4,weekly,2025,2035,4.2351921409916855,4.293461311067737,-0.01375832976078559
WR,opportunity,offense_snap_share_prior4,next_season,2023,160,,,0.014094263116173865
WR,opportunity,offense_snap_share_prior4,next_season,2024,164,,,0.047813801176756814
WR,opportunity,offense_snap_share_prior4,next_season,2025,165,,,0.108159454433423
WR,opportunity,target_share_prior4,weekly,2025,2414,4.239156625668214,4.2680095743339095,-0.006806294556561193
WR,opportunity,target_share_prior4,next_season,2023,165,,,0.019971793077432496
WR,opportunity,target_share_prior4,next_season,2024,173,,,0.0525092382977778
WR,opportunity,target_share_prior4,next_season,2025,171,,,0.1198089928572487
WR,opportunity,red_zone_target_share_prior4,weekly,2025,1123,5.442319565081574,5.49782244274164,-0.010198386367492589
WR,opportunity,red_zone_target_share_prior4,next_season,2023,84,,,0.06493766751105444
WR,opportunity,red_zone_target_share_prior4,next_season,2024,76,,,0.08950421927233558
WR,opportunity,red_zone_target_share_prior4,next_season,2025,87,,,0.17786411468335706
WR,opportunity,opportunity_change_score_prior1,weekly,2025,1234,4.467540391167291,4.5457881474443225,-0.017514728335021636
WR,opportunity,opportunity_change_score_prior1,next_season,2024,149,,,0.04982965367510035
WR,opportunity,opportunity_change_score_prior1,next_season,2025,141,,,0.11259858104811481
WR,conversion,pfr_receiving_drop_pct_prior4,weekly,2025,1770,4.658551899411566,4.715449906880442,-0.012213668259457078
WR,conversion,pfr_receiving_drop_pct_prior4,next_season,2023,148,,,0.03726179509221099
WR,conversion,pfr_receiving_drop_pct_prior4,next_season,2024,146,,,0.049795199104439705
WR,conversion,pfr_receiving_drop_pct_prior4,next_season,2025,147,,,0.11395737168170167
WR,competition,receiving_competition_index_prior4,weekly,2025,2414,4.239156625668214,4.268354053989824,-0.0068875559220479944
WR,competition,receiving_competition_index_prior4,next_season,2023,165,,,0.01371649194554264
WR,competition,receiving_competition_index_prior4,next_season,2024,173,,,0.042852379780590574
WR,competition,receiving_competition_index_prior4,next_season,2025,171,,,0.10744765123813618
WR,competition,receiving_competitor_count,weekly,2025,2511,4.283363313016219,4.277561464833385,0.0013545076050877048
WR,competition,receiving_competitor_count,next_season,2023,167,,,-0.00021103147614994318
WR,competition,receiving_competitor_count,next_season,2024,173,,,0.04349034630985425
WR,competition,receiving_competitor_count,next_season,2025,178,,,0.10755037486483
WR,regression,xfp_residual_prior4,weekly,2025,2041,4.2288691947452115,4.287961555948463,-0.013973560893460598
WR,regression,xfp_residual_prior4,next_season,2024,164,,,0.05610484706345046
WR,regression,xfp_residual_prior4,next_season,2025,165,,,0.11753493042513766
WR,regression,opportunity_xfp_realized_prior4,weekly,2025,2041,4.2288691947452115,4.276851264785112,-0.011346312177147206
WR,regression,opportunity_xfp_realized_prior4,next_season,2024,164,,,0.05242413753158627
WR,regression,opportunity_xfp_realized_prior4,next_season,2025,165,,,0.1264061563056375
TE,opportunity,offense_snap_share_prior4,weekly,2025,1024,3.6341111000359483,3.681280055135105,-0.012979502772683576
TE,opportunity,offense_snap_share_prior4,next_season,2023,90,,,-0.0029479384973354838
TE,opportunity,offense_snap_share_prior4,next_season,2024,87,,,0.037286103017708766
TE,opportunity,offense_snap_share_prior4,next_season,2025,96,,,0.058737671745824616
TE,opportunity,target_share_prior4,weekly,2025,1241,3.566719469722053,3.586483245188551,-0.005541163423216594
TE,opportunity,target_share_prior4,next_season,2023,93,,,0.04845410969314028
TE,opportunity,target_share_prior4,next_season,2024,93,,,0.04363537024359502
TE,opportunity,target_share_prior4,next_season,2025,100,,,0.09376860131369255
TE,opportunity,red_zone_target_share_prior4,weekly,2025,568,4.406901645448147,4.452645992021183,-0.010380160542108994
TE,opportunity,red_zone_target_share_prior4,next_season,2023,36,,,-0.01743319528032708
TE,opportunity,red_zone_target_share_prior4,next_season,2024,36,,,0.027255921069874015
