position,status,n,diagnostic_coverage,avg_market,avg_diagnostic,mean_delta,rank_correlation,median_abs_delta,p90_abs_delta,within_5pct,over_10pct
QB,Diagnostic model,77,51,122.21922077922079,122.21922077922076,-4.134066826240583e-14,0.770029647144943,29.114444303803083,116.34688273159422,35.064935064935064,47
RB,Diagnostic model,135,87,84.62888888888888,84.62888888888887,-1.8947806286936005e-15,0.8684925495348725,9.572482045120566,53.38346535719056,42.22222222222222,70
WR,Validated preseason model,214,128,85.6836448598131,85.68364485981309,-1.328117263102991e-16,0.9102522933483951,10.262318546656253,53.9857668291634,43.925233644859816,110
TE,Validated preseason model,123,78,61.21382113821138,61.2138211382114,1.0167115568599808e-14,0.9107813197139908,3.554716616824674,38.172892624654345,45.52845528455284,61
