position,test_season,metric,model,decile,n,mean_prediction,mean_actual,bias
QB,2022,PPG,V972,1,6,3.5754749459938164,6.769880886465966,-3.1944059404721497
QB,2022,PPG,V972,2,5,5.880714320124501,3.7995237462045184,2.081190573919983
QB,2022,PPG,V972,3,5,8.00169634088987,8.243858705024946,-0.2421623641350763
QB,2022,PPG,V972,4,6,10.08649451448523,12.110228636763688,-2.0237341222784586
QB,2022,PPG,V972,5,5,12.00003211013134,8.69159991880258,3.308432191328759
QB,2022,PPG,V972,6,5,13.766127318409493,12.200399851234575,1.5657274671749182
QB,2022,PPG,V972,7,6,15.062974970201388,13.790879449798483,1.272095520402905
QB,2022,PPG,V972,8,5,16.24712124096603,15.183507590354685,1.0636136506113463
QB,2022,PPG,V972,9,5,17.788059049535242,17.643411544944144,0.14464750459109865
QB,2022,PPG,V972,10,6,20.085038674370953,21.03828704634654,-0.9532483719755867
QB,2022,PPG,M9,1,6,3.3863555015088234,6.869880884230792,-3.4835253827219685
QB,2022,PPG,M9,2,5,5.4711606794277206,2.2426666325579085,3.228494046869812
QB,2022,PPG,M9,3,5,7.911963251403018,7.0239998998120425,0.8879633515909751
QB,2022,PPG,M9,4,6,10.729561371642655,12.10606844672215,-1.3765070750794948
QB,2022,PPG,M9,5,5,12.23802970188641,13.456841656557874,-1.2188119546714642
QB,2022,PPG,M9,6,5,12.933042379401286,9.478714180773213,3.4543281986280725
QB,2022,PPG,M9,7,6,13.490920641056816,14.545475583915746,-1.05455494285893
QB,2022,PPG,M9,8,5,15.357850974282266,15.398497256312421,-0.040646282030154524
QB,2022,PPG,M9,9,5,17.20443968419545,18.363577240593003,-1.1591375563975532
QB,2022,PPG,M9,10,6,20.136714157318146,20.019521512805145,0.11719264451300049
QB,2022,SEASON,V972,1,6,20.704840505629612,51.423332861314215,-30.718492355684603
QB,2022,SEASON,V972,2,5,32.80088229786795,29.055999538302423,3.7448827595655274
QB,2022,SEASON,V972,3,5,47.07348073395961,72.59199912399053,-25.51851839003092
QB,2022,SEASON,V972,4,6,72.28782347388443,68.26666578774652,4.0211576861379115
QB,2022,SEASON,V972,5,5,117.81752009758024,139.87999811768532,-22.062478020105075
QB,2022,SEASON,V972,6,5,154.6737735024879,163.90399827808142,-9.230224775593513
QB,2022,SEASON,V972,7,6,196.99356567682528,169.1099982497593,27.883567427065998
QB,2022,SEASON,V972,8,5,232.04000675741673,169.28399806320667,62.75600869421007
QB,2022,SEASON,V972,9,5,242.8119474321582,280.99199720025064,-38.18004976809243
QB,2022,SEASON,V972,10,6,275.7539278229537,318.77332983786863,-43.01940201491493
QB,2022,SEASON,M9,1,6,19.58279155042513,19.503333079318203,0.07945847110692839
QB,2022,SEASON,M9,2,5,32.0386026466905,58.67199942618608,-26.633396779495584
QB,2022,SEASON,M9,3,5,47.17464147442303,22.995999616384506,24.17864185803852
QB,2022,SEASON,M9,4,6,74.68686799630694,116.8366652528445,-42.14979725653755
QB,2022,SEASON,M9,5,5,131.9152160064511,90.69999880492688,41.21521720152421
QB,2022,SEASON,M9,6,5,150.0294822580908,237.7279972806573,-87.69851502256648
QB,2022,SEASON,M9,7,6,170.10745438848872,171.96333173910776,-1.8558773506190391
QB,2022,SEASON,M9,8,5,201.37405808397318,189.76399729698898,11.610060786984207
QB,2022,SEASON,M9,9,5,232.92875707527128,255.36799753904342,-22.439240463772137
QB,2022,SEASON,M9,10,6,273.37976010488455,299.669996963193,-26.290236858308447
QB,2023,PPG,V972,1,6,3.7321404644403304,8.272150232511407,-4.5400097680710765
QB,2023,PPG,V972,2,5,6.7659494474734405,5.4184999063052235,1.347449541168217
QB,2023,PPG,V972,3,5,8.539674297145051,12.832561743848382,-4.292887446703331
QB,2023,PPG,V972,4,5,10.015049826346562,6.703999920586744,3.311049905759818
QB,2023,PPG,V972,5,6,11.712303855441478,11.343473712074895,0.3688301433665835
QB,2023,PPG,V972,6,5,12.732489819225309,11.383561798371966,1.348928020853343
QB,2023,PPG,V972,7,5,14.371066716205132,13.663290386275653,0.7077763299294784
QB,2023,PPG,V972,8,5,15.752953519797916,12.440103953222984,3.3128495665749327
QB,2023,PPG,V972,9,5,17.411364980869855,16.389092920975138,1.0222720598947177
QB,2023,PPG,V972,10,6,20.65597115350963,18.250061448377497,2.4059097051321316
QB,2023,PPG,M9,1,6,4.546414860555152,8.527150229605681,-3.980735369050529
QB,2023,PPG,M9,2,5,7.266262817294562,5.565566567226003,1.7006962500685594
QB,2023,PPG,M9,3,5,9.696067857140594,11.16682842527117,-1.4707605681305758
QB,2023,PPG,M9,4,5,11.244928650392584,12.113701823464796,-0.8687731730722117
QB,2023,PPG,M9,5,6,12.212569802652256,10.399653758015871,1.8129160446363848
QB,2023,PPG,M9,6,5,12.924913987854836,9.818095151157607,3.1068188366972294
QB,2023,PPG,M9,7,5,13.632712030134027,11.773592987232323,1.8591190429017033
QB,2023,PPG,M9,8,5,14.547488910982244,14.388831352300908,0.1586575586813357
QB,2023,PPG,M9,9,5,16.312252635940165,15.390628270453536,0.921624365486629
QB,2023,PPG,M9,10,6,20.103438842995192,17.7837697824087,2.3196690605864916
QB,2023,SEASON,V972,1,6,18.813108486928037,70.99666583910584,-52.18355735217781
QB,2023,SEASON,V972,2,5,35.98966371736681,55.687999188899994,-19.698335471533184
QB,2023,SEASON,V972,3,5,46.64618632429561,65.9399990439415,-19.293812719645885
QB,2023,SEASON,V972,4,5,65.91599161505765,37.64799965173006,28.26799196332759
QB,2023,SEASON,V972,5,6,93.98806966493436,135.4766649218897,-41.488595256955335
QB,2023,SEASON,V972,6,5,144.12016028074294,126.8599983945489,17.26016188619404
QB,2023,SEASON,V972,7,5,168.604852113886,152.05599804669617,16.548854067189836
QB,2023,SEASON,V972,8,5,200.07658705423765,168.19999844431877,31.876588609918883
QB,2023,SEASON,V972,9,5,243.93837742220066,208.92399729788303,35.014380124317626
QB,2023,SEASON,V972,10,6,280.991119692905,263.22666438668966,17.764455306215325
QB,2023,SEASON,M9,1,6,23.414985219482848,70.99666583910584,-47.581680619623
QB,2023,SEASON,M9,2,5,44.96956543298691,57.67999911755324,-12.710433684566325
QB,2023,SEASON,M9,3,5,54.986384293913964,68.47999910861253,-13.493614814698567
QB,2023,SEASON,M9,4,5,71.43440151690181,50.479999352991584,20.95440216391023
QB,2023,SEASON,M9,5,6,95.96826102413246,128.68999838456511,-32.721737360432655
QB,2023,SEASON,M9,6,5,134.27619497785153,92.93999875932931,41.33619621852222
QB,2023,SEASON,M9,7,5,161.1193526280313,156.41199788600207,4.707354742029224
QB,2023,SEASON,M9,8,5,188.61470258625366,180.1199979916215,8.494704594632168
QB,2023,SEASON,M9,9,5,217.68276605481122,240.42399746626614,-22.74123141145492
QB,2023,SEASON,M9,10,6,264.09213170615584,243.99666457871595,20.09546712743989
QB,2024,PPG,V972,1,6,4.594861802020392,4.847944379328854,-0.2530825773084615
QB,2024,PPG,V972,2,5,6.699201510421108,5.734244520404251,0.9649569900168569
QB,2024,PPG,V972,3,6,8.426122369751331,10.633382204025253,-2.2072598342739216
QB,2024,PPG,V972,4,5,10.549541143551924,8.345933225743826,2.203607917808098
QB,2024,PPG,V972,5,6,11.680210616329417,8.754999909425775,2.9252107069036413
QB,2024,PPG,V972,6,5,13.452125591361252,5.909907038842461,7.542218552518791
QB,2024,PPG,V972,7,5,14.712374078533632,16.79600287656505,-2.0836287980314196
QB,2024,PPG,V972,8,6,15.450872526573908,16.01140801709165,-0.5605354905177418
QB,2024,PPG,V972,9,5,16.205655398458894,17.306572975882172,-1.100917577423278
QB,2024,PPG,V972,10,6,19.033624313132197,18.61089773093916,0.42272658219303594
QB,2024,PPG,M9,1,6,3.8562752346574753,6.785185291857828,-2.9289100572003526
QB,2024,PPG,M9,2,5,6.33411247087705,4.383399946639935,1.9507125242371153
QB,2024,PPG,M9,3,6,9.372965806078733,11.216095110312814,-1.8431293042340808
QB,2024,PPG,M9,4,5,10.774696941840359,8.045099893808365,2.7295970480319944
QB,2024,PPG,M9,5,6,11.908316589149559,12.423385466250524,-0.5150688771009655
QB,2024,PPG,M9,6,5,13.476807602801989,8.318518777348947,5.158288825453042
QB,2024,PPG,M9,7,5,14.249238664937684,9.552721456551001,4.696517208386682
QB,2024,PPG,M9,8,6,15.430533669287508,16.98659152643109,-1.5560578571435837
QB,2024,PPG,M9,9,5,16.599769662878906,14.370970996702738,2.228798666176168
QB,2024,PPG,M9,10,6,18.11265644078027,19.29899948461409,-1.1863430438338192
QB,2024,SEASON,V972,1,6,26.236521884170713,27.29333304365476,-1.0568111594840452
