test_season,model,decile,n,mean_prediction,mean_actual,bias
2022,ENSEMBLE,1,6,2.1777253332053728,11.70576923076923,-9.528043897563856
2022,ENSEMBLE,2,5,6.638686140427758,2.120000000000001,4.518686140427757
2022,ENSEMBLE,3,5,11.175495046914264,9.70857142857143,1.4669236183428342
2022,ENSEMBLE,4,6,14.833563430204023,16.398796296296297,-1.5652328660922734
2022,ENSEMBLE,5,5,17.96643421131691,27.097040723981905,-9.130606512664997
2022,ENSEMBLE,6,5,20.357805542827013,22.816196078431382,-2.4583905356043694
2022,ENSEMBLE,7,6,23.00365112958856,21.678472222222222,1.3251789073663396
2022,ENSEMBLE,8,5,25.64637675132845,28.70121212121212,-3.054835369883669
2022,ENSEMBLE,9,5,30.362376090290162,27.926764705882352,2.43561138440781
2022,ENSEMBLE,10,6,33.40673908615923,37.591653669043374,-4.184914582884147
2022,V972,1,6,2.615992194009081,8.555769230769231,-5.93977703676015
2022,V972,2,5,8.044025247132707,9.198,-1.1539747528672937
2022,V972,3,5,13.234666010932283,9.453571428571431,3.7810945823608524
2022,V972,4,6,16.191073751218692,15.693845315904136,0.49722843531455574
2022,V972,5,5,19.255139695777483,25.369981900452494,-6.114842204675011
2022,V972,6,5,24.599577313479898,19.996000000000002,4.603577313479896
2022,V972,7,6,26.843444587431247,24.06266339869281,2.7807811887384375
2022,V972,8,5,29.780708878850497,27.573045454545458,2.2076634243050393
2022,V972,9,5,34.33741067222936,32.153509803921565,2.183900868307795
2022,V972,10,6,37.47932423558024,34.58381053178848,2.8955137037917638
2022,M9,1,6,1.3592765035137226,10.022435897435898,-8.663159393922175
2022,M9,2,5,5.011983236736473,0.36000000000000015,4.651983236736473
2022,M9,3,5,8.789458452442341,13.488571428571433,-4.699112976129092
2022,M9,4,6,13.456211924092878,21.854515250544665,-8.398303326451787
2022,M9,5,5,15.485006214641595,18.34292307692308,-2.857916862281483
2022,M9,6,5,17.69023235832058,26.985117647058825,-9.294885288738246
2022,M9,7,6,18.958107475554296,19.621527777777782,-0.6634203022234857
2022,M9,8,5,22.271450022995595,29.207878787878787,-6.936428764883193
2022,M9,9,5,26.09195169489726,30.524264705882352,-4.432313010985091
2022,M9,10,6,29.69220876005838,35.42707033571005,-5.734861575651667
2023,ENSEMBLE,1,6,3.925258971343658,6.690000000000001,-2.7647410286563434
2023,ENSEMBLE,2,5,9.217554720602914,7.8462521008403385,1.3713026197625755
2023,ENSEMBLE,3,5,13.27573943488837,23.971083333333333,-10.695343898444962
2023,ENSEMBLE,4,5,15.573191305026887,18.7898431372549,-3.2166518322280115
2023,ENSEMBLE,5,6,17.423029096533654,19.273333333333337,-1.8503042367996834
2023,ENSEMBLE,6,5,19.66317288871784,13.873668449197861,5.789504439519977
2023,ENSEMBLE,7,5,21.57960484993659,15.529722222222222,6.049882627714368
2023,ENSEMBLE,8,5,24.14396242061002,29.84992857142857,-5.705966150818551
2023,ENSEMBLE,9,5,27.034683264431198,31.717031674208148,-4.682348409776949
2023,ENSEMBLE,10,6,30.64065839920318,29.401335784313726,1.2393226148894527
2023,V972,1,6,4.359845574279899,11.547352941176472,-7.187507366896573
2023,V972,2,5,9.917830931917186,8.330000000000002,1.5878309319171837
2023,V972,3,5,14.70063954486282,9.509178571428572,5.191460973434248
2023,V972,4,5,17.018957616154715,21.346666666666668,-4.327709050511952
2023,V972,5,6,19.868756720700464,23.627091503267973,-3.758334782567509
2023,V972,6,5,22.774963587772092,11.750949494949497,11.024014092822595
2023,V972,7,5,25.509389274962253,26.580441176470583,-1.07105190150833
2023,V972,8,5,28.24381139378039,21.3429941822883,6.90081721149209
2023,V972,9,5,31.648104835269443,33.71146606334842,-2.063361228078975
2023,V972,10,6,36.30119610373996,27.69508578431373,8.606110319426232
2023,M9,1,6,3.4975369224662725,6.690000000000001,-3.192463077533729
2023,M9,2,5,8.31648837399985,11.50958543417367,-3.1930970601738213
2023,M9,3,5,11.68806102353719,24.898926470588233,-13.210865447051043
2023,M9,4,5,14.248857658481416,16.500666666666667,-2.2518090081852513
2023,M9,5,6,16.278485698206357,19.732272727272733,-3.453787029066376
2023,M9,6,5,17.710888382414716,10.342941176470587,7.367947205944128
2023,M9,7,5,19.589216068357075,16.176222222222226,3.4129938461348495
2023,M9,8,5,21.135821974103212,29.881428571428568,-8.745606597325356
2023,M9,9,5,24.006745868276806,28.32780090497738,-4.3210550367005744
2023,M9,10,6,27.275664782014783,32.225694758672695,-4.950029976657913
2024,ENSEMBLE,1,6,3.8556862151171223,1.445,2.4106862151171224
2024,ENSEMBLE,2,5,6.752820638774489,14.941411764705881,-8.188591125931392
2024,ENSEMBLE,3,6,11.049317833415671,15.173452380952382,-4.124134547536711
2024,ENSEMBLE,4,5,15.171195534982118,12.363000000000001,2.808195534982117
2024,ENSEMBLE,5,6,18.009000130640764,10.257037037037039,7.751963093603726
2024,ENSEMBLE,6,5,20.75539453537167,7.452454545454546,13.302939989917125
2024,ENSEMBLE,7,5,23.09050011870344,32.31390374331551,-9.223403624612068
2024,ENSEMBLE,8,6,24.80040109968372,27.331547619047626,-2.5311465193639044
2024,ENSEMBLE,9,5,26.880640091632493,34.949558823529415,-8.068918731896922
2024,ENSEMBLE,10,6,30.54769253276226,35.20761772133096,-4.659925188568703
2024,V972,1,6,5.384700079270363,3.388333333333334,1.9963667459370291
2024,V972,2,5,7.931645144150943,4.862142857142857,3.0695022870080866
2024,V972,3,6,12.49048864220282,21.629509803921568,-9.139021161718748
2024,V972,4,5,16.50521366006291,14.469999999999999,2.0352136600629116
2024,V972,5,6,19.781645202278895,6.110370370370371,13.671274831908523
2024,V972,6,5,22.627400632265715,16.11416042780749,6.513240204458224
2024,V972,7,5,25.475616744637783,22.46250420168068,3.013112542957103
2024,V972,8,6,27.706205863598623,31.387542335115864,-3.681336471517241
2024,V972,9,5,30.66274470189922,32.79175401069519,-2.129009308795972
2024,V972,10,6,34.78366605240003,36.332038398692816,-1.548372346292787
2024,M9,1,6,1.5477691904765527,5.942222222222224,-4.394453031745671
2024,M9,2,5,4.795630285708741,9.289745098039214,-4.494114812330473
2024,M9,3,6,9.852437013510844,16.99761904761905,-7.145182034108206
2024,M9,4,5,12.624766204277414,14.12177777777778,-1.497011573500366
2024,M9,5,6,15.899789608030417,9.367908496732026,6.531881111298391
2024,M9,6,5,18.505735914843758,20.79718181818182,-2.2914459033380616
2024,M9,7,5,19.811212545156515,21.707647058823532,-1.8964345136670175
2024,M9,8,6,21.43414656624135,27.32915032679739,-5.89500376055604
2024,M9,9,5,22.734310189731378,32.605820028011216,-9.871509838279838
2024,M9,10,6,26.070591215518704,32.69288557847382,-6.622294362955117
2025,ENSEMBLE,1,6,4.121655149480194,-3.922222222222222,8.043877371702417
2025,ENSEMBLE,2,5,8.348839356536,14.407857142857143,-6.059017786321142
2025,ENSEMBLE,3,5,11.182818830273147,20.191464646464645,-9.008645816191498
2025,ENSEMBLE,4,5,15.282475232884005,23.20387933634992,-7.921404103465916
2025,ENSEMBLE,5,6,17.759052405511977,6.91638888888889,10.842663516623087
2025,ENSEMBLE,6,5,20.950767046007854,28.631144957983196,-7.6803779119753415
2025,ENSEMBLE,7,5,25.519540728698395,26.21628921568628,-0.6967484869878859
2025,ENSEMBLE,8,5,27.997237978469382,25.52974229691877,2.467495681550613
2025,ENSEMBLE,9,5,29.615627609784763,31.636271008403362,-2.020643398618599
2025,ENSEMBLE,10,6,35.262700622456514,32.296669629390216,2.9660309930662976
2025,V972,1,6,4.338278251442407,-3.422222222222222,7.76050047366463
2025,V972,2,5,8.801569518596523,15.542857142857144,-6.741287624260622
2025,V972,3,5,11.10780934246931,18.456464646464646,-7.348655303995336
2025,V972,4,5,15.234166965615264,20.605725490196075,-5.371558524580811
2025,V972,5,6,18.70682081979817,9.081517094017094,9.625303725781077
2025,V972,6,5,21.893322797183384,28.631144957983196,-6.737822160799812
2025,V972,7,5,27.351307598542167,21.293011904761908,6.058295693780259
2025,V972,8,5,29.556628924035444,30.453019607843146,-0.8963906838077023
2025,V972,9,5,31.428349725865793,31.636271008403362,-0.20792128253756914
2025,V972,10,6,37.12511221386473,32.296669629390216,4.828442584474516
2025,M9,1,6,2.7093770567845854,0.666666666666667,2.0427103901179184
2025,M9,2,5,6.601628795738309,9.006190476190477,-2.4045616804521686
2025,M9,3,5,11.176782800343933,14.291464646464647,-3.114681846120714
2025,M9,4,5,13.546406945250032,10.731333333333335,2.815073611916697
2025,M9,5,6,15.290685141740866,18.86491987179487,-3.5742347300540054
2025,M9,6,5,17.17129053016851,31.69386554621849,-14.52257501604998
2025,M9,7,5,18.70443143851393,29.35252450980393,-10.648093071290003
2025,M9,8,5,21.53719703526328,26.992611344537817,-5.455414309274538
2025,M9,9,5,23.323872028525972,27.903754901960788,-4.579882873434816
2025,M9,10,6,27.813054256823634,32.296669629390216,-4.483615372566582
