market_player_key,canonical_player_id,sleeper_id,full_name,position_model,market_adp,opening_adp,adp_change_from_open,adp_change_7d,adp_change_21d,market_snapshot_count,latest_market_as_of
00-0016919,00-0016919,120,Adam Vinatieri,K,476.3,476.3,0.0,0.0,0.0,2,2026-09-01
00-0019596,00-0019596,167,Tom Brady,QB,358.7,358.7,0.0,0.0,0.0,2,2026-09-01
00-0020531,00-0020531,289,Drew Brees,QB,661.4,661.4,0.0,0.0,0.0,2,2026-09-01
00-0020578,00-0020578,127,Matt Bryant,K,438.5,438.5,0.0,0.0,0.0,2,2026-09-01
00-0021206,00-0021206,208,Josh McCown,QB,650.2,650.2,0.0,0.0,0.0,2,2026-09-01
00-0022127,00-0022127,23,Jason Witten,TE,671.5,671.5,0.0,0.0,0.0,2,2026-09-01
00-0022787,00-0022787,178,Matt Schaub,QB,544.6,544.6,0.0,0.0,0.0,2,2026-09-01
00-0023252,00-0023252,49,Robbie Gould,K,521.6,521.6,0.0,0.0,0.0,2,2026-09-01
00-0023436,00-0023436,268,Alex Smith,QB,625.6,625.6,0.0,0.0,0.0,2,2026-09-01
00-0023459,00-0023459,96,Aaron Rodgers,QB,191.5,191.5,0.0,0.0,0.0,2,2026-09-01
00-0023482,00-0023482,658,Mike Nugent,K,535.9,535.9,0.0,0.0,0.0,2,2026-09-01
00-0023500,00-0023500,232,Frank Gore,RB,679.8,679.8,0.0,0.0,0.0,2,2026-09-01
00-0023564,00-0023564,246,Darren Sproles,RB,668.1,668.1,0.0,0.0,0.0,2,2026-09-01
00-0023682,00-0023682,333,Ryan Fitzpatrick,QB,598.5,598.5,0.0,0.0,0.0,2,2026-09-01
00-0023853,00-0023853,17,Matt Prater,K,602.5,602.5,0.0,0.0,0.0,2,2026-09-01
00-0024221,00-0024221,200,Vernon Davis,TE,486.0,486.0,0.0,0.0,0.0,2,2026-09-01
00-0024243,00-0024243,111,Marcedes Lewis,TE,636.1,636.1,0.0,0.0,0.0,2,2026-09-01
00-0024333,00-0024333,110,Stephen Gostkowski,K,580.4,580.4,0.0,0.0,0.0,2,2026-09-01
00-0024389,00-0024389,284,Delanie Walker,TE,696.8,696.8,0.0,0.0,0.0,2,2026-09-01
00-0025394,00-0025394,184,Adrian Peterson,RB,652.9,652.9,0.0,0.0,0.0,2,2026-09-01
00-0025396,00-0025396,695,Ted Ginn,WR,666.8,666.8,0.0,0.0,0.0,2,2026-09-01
00-0025430,00-0025430,181,Drew Stanton,QB,691.2,691.2,0.0,0.0,0.0,2,2026-09-01
00-0025565,00-0025565,650,Nick Folk,K,687.2,687.2,0.0,0.0,0.0,2,2026-09-01
00-0025580,00-0025580,59,Mason Crosby,K,489.3,489.3,0.0,0.0,0.0,2,2026-09-01
00-0025944,00-0025944,775,Steven Hauschka,K,525.1,525.1,0.0,0.0,0.0,2,2026-09-01
